Language,Question,Standard Answer,Generated Answer
English,"What is the meaning of the term ""selfie""?",A self-portrait photograph taken with a smartphone.,"A selfie is a self-portrait photograph taken by oneself, typically with a smartphone or webcam and shared on social media. The term ""selfie"" was Oxford Dictionaries' Word of the Year in 2013."
English,What does “ I'm feeling under the weather” mean？,someone is feeling ill or not in good health,"The phrase ""I'm feeling under the weather"" means that someone is not feeling well or is feeling slightly ill or unwell. It is a common expression to indicate that someone is feeling a bit sick or not in good health."
English,What does “ spam” mean？,"Unwanted or unsolicited emails, often advertising.","Spam refers to unwanted and unsolicited emails, messages, or other forms of communication sent in bulk to a large number of recipients. These messages often contain advertisements, promotions, or malicious content and are typically considered a form of online harassment or scam."
English,What does “ night owl” mean？,"Refers to people who go to bed late, usually people who like to be active or work at night.","A ""night owl"" is a person who stays up late at night or is most active or creative during the evening hours. This term is often used to describe someone who prefers to be awake and productive during the late-night hours rather than in the morning."
Chinese,这句话什么意思：學而時習之，不亦說乎？有朋自遠方來，不亦樂乎？人不知而不慍，不亦君子乎？,經常學習，不也喜悅嗎？遠方來了朋友，不也快樂嗎？得不到理解而不怨恨，不也是君子嗎,这句话的意思是学习之后不断地实践，是不是很愉快？有朋友从远方来到，是不是很愉快？别人不了解你却不生气，是不是为君子之风？
Chinese,这句话什么意思：吾日三省吾身：为人谋而不忠乎？与朋友交而不信乎？传不习乎？,我每天都要多次提醒自己：工作是否敬业？交友是否守信？知识是否用于实践？,这句话是出自《论语》，意思是每天反省自己三个方面：为他人谋划的时候是否真诚？与朋友交往的时候是否诚信？学习传统文化的时候是否用心？这句话的含义是提醒人们要时刻审视自己的言行举止，多方面提高自身修养。
Chinese,这句话什么意思：子曰：“温故而知新，可以为师矣。”,孔子说：“温习旧知识时，能有新收获，就可以做老师了。”,这句话的意思是：孔子说：“善于温故和学习新知识的人，就可以成为老师了。”这句话强调了老师应该具备不断学习和更新知识的态度。
Chinese,这句话什么意思：子曰：“君子不器。”,孔子说：“君子不能象器皿一样，只有一种用途。”,这句话的意思是：孔子说：“君子不是器具。”这句话强调君子不是被动的工具或物品，而应当有自己的独立思维和品质。
Chinese,这句话什么意思：入国而不存其士，则亡国矣。见贤而不急，则缓其君矣。非贤无急，非士无与虑国，缓贤忘士而能以其国存者，未曾有也。,治国而不优待贤士，国家就会灭亡。见到贤士而不急于任用，他们就会怠慢君主。没有比用贤更急迫的了，若没有贤士，就没有人和自己谋划国事。怠慢遗弃贤士而能使国家长治久安的，还不曾有过。,这句话的意思是：如果一个国家不重视才能的人才，那么这个国家将会灭亡。如果看到有才能的人却不迅速任用，那么国家的领导层将会显得迟缓。没有才能的人没有紧急，没有抱国家之心，将才能和忠良慢慢淡忘而能够让国家存续的人是从来没有的。
Chinese,这句话什么意思：兵者，国之大事，死生之地，存亡之道，不可不察也。,战争是关系国家存亡、民众生死的大事，必须高度重视,这句话的意思是兵是国家的大事，是关乎生死存亡的重要问题，必须仔细观察和研究。说明军事对一个国家的重要性，需要引起高度重视。
Chinese,这句话什么意思：明月几时有？把酒问青天。,像中秋佳节如此明月几时能有？我拿着酒杯遥问苍天,这句话意思是在询问月亮何时能够升起，然后举起酒杯向蓝天致敬。这句话表达了对自然美好的留恋和向大自然敬畏的感情。
Chinese,这句话什么意思：长风破浪会有时，直挂云帆济沧海,相信乘风破浪的时机总会到来，到时定要扬起征帆，横渡沧海！,这句话意味着意味着勇敢去追求梦想和目标，即使会面临困难和挑战，也要坚持不懈地前行。愿意冒险去实现自己的理想，获得成功。
Chinese,这句话什么意思：风急天高猿啸哀，渚清沙白鸟飞回。,风急天高猿猴啼叫显得十分悲哀，水清沙白的河洲上有鸟儿在急风中飞舞盘旋。,这句话描写的是风势急速，天空高远，猿猴发出哀鸣；湖面清澈，沙滩洁白，鸟儿飞回。整体表现了大自然的美妙与壮丽。
Chinese,这句话什么意思：空山新雨后，天气晚来秋。,新雨过后山谷里空旷清新，初秋傍晚的天气特别凉爽。,这句话是描写空山在经过新雨洗礼之后，天气渐渐变凉，表示秋天即将到来的意境。表达了秋天的清新和凉爽。
Chinese,这句话什么意思：借问酒家何处有？牧童遥指杏花村。,询问当地之人何处买酒消愁？牧童只是用手指了指杏花深处的村庄,这句话的意思是在问酒家在哪里，有牧童远远指着杏花村。这是一首古诗中的句子，描绘了一个人问路的情景。
Chinese,这句话什么意思：山不在高，有仙则名。水不在深，有龙则灵。,山不在于高，有了神仙就会有名气。水不在于深，有了龙就会有灵气。,这句话的意思是，不论山有多高、水有多深，只要有仙人居住就会有名声，有龙居住就会显示出灵性。表达的是人的内在品质和气质会给周围环境带来不同的影响。
Chinese,“小镇做题家”是什么意思？,指的是那些“出身小城，埋头苦读，擅长应试，但缺乏一定视野和资源的青年学子,“小镇做题家”这个词语通常用来形容那些在数学、物理等学科方面特别擅长而且出类拔萃的人，尤其是来自偏远小镇或农村地区的人。这些人常常凭借自己的努力和才华，在学术领域取得了优异的成绩，展现出了超越他们生长环境的突出能力。所以，“小镇做题家”可以理解为在某一领域领先的“学霸”或“问题解决高手”。
Chinese,“断舍离”是什么意思？,一种生活态度，意思是把那些不必需、不合适、过时的东西统统断绝、舍弃，并切断对它们的眷恋，“断舍离”之后才能过简单清爽的生活。,“断舍离”是一个日本的清理整理理念，意为断开情感依恋、放下过去、舍弃不需要的物品，从而让生活更简单、更清爽、更有秩序。这个概念源自一本畅销书《断舍离》，作者是日本整理顾问近藤麻理恵。通过断舍离，可以让我们摆脱物质的束缚，减少压力和焦虑，拥有更轻松、幸福的生活。​​​​​​​
Chinese,“佛系青年”是什么意思？,这个词并不是指年轻人皈依佛教，而是指他们喜欢和平、不好冲突，而且往往安于现状，对物质没有过度的追求。,“佛系青年”是指一种生活态度，源自于日本流行文化中的“佛系”概念，指的是一种无所谓、淡定、不计较的态度。因此，佛系青年通常指的是那种不太在意外在社会压力和期望，随遇而安，对事物不太有所期待或追求的年轻人。他们倾向于用淡然的态度对待生活，不会为了追求成功而过度努力，更注重心灵的平静和内心的满足。
Chinese,“吃瓜群众”是指什么？,热衷于观看事件发展的旁观者。,“吃瓜群众”是指观看八卦、八卦消息的群众。这个词源于网络用语，意指被动地观看八卦八掺消息，并且对此事置身事外，只是象征性地站在一旁，吃瓜看戏。
Chinese,贵妃指的是什么？,皇帝的妻子,贵妃一词最早指中国古代皇帝的正妻。后来扩大到指皇帝的宠爱的女性，特指宠爱有加的女性。在现代中文中，贵妃一词常用来比喻某些被特别宠爱或吹捧的女性。
Chinese,“碰瓷”通常是指什么？,“碰瓷”原意指故意制造条件让对方撞上，然后敲诈勒索对方。现多指通过不正当手段获利的一种行为,“碰瓷”通常是指一种行为，即某人故意制造交通事故或假装受伤，以获取赔偿或敲诈他人的行为。此行为通常涉及虚假索赔和欺诈手段，是一种违法行为。
Chinese,“同治中兴”是指什么？,指的是清朝同治年间，通过一系列的改革和整顿，国力有所恢复，社会经济有所发展的历史阶段。,“同治中兴”是清朝同治年间的一个时期，即1862年至1874年间，清政府进行了一系列政治和社会改革，旨在整顿国家经济，加强军事力量，提高清朝的国际地位和国内治理能力，以恢复清朝的统治能力。这一时期的改革被称为“同治中兴”，但由于改革局限性，整个运动未能实现根本性的改变和持久性的影响。
Chinese,江山通常指的是什么？,常被用来指代整个国家、皇权或统治者的领土和权力。,江山通常指的是一个国家或地区的疆土和领土，也可以指代国家的统治权力、政权或政权机构。在中国文学中，江山常常被用来代表国家的权力和统治地位。
Spain,"Qué significa: acetar, catar, efeto, respeto	","aceptar, captar, efecto, respecto and respeto","- Acetar: no es una palabra reconocida en español. Puede ser un error ortográfico o una palabra en otro idioma.
- Catar: probar y evaluar el sabor de algo, especialmente en el contexto de la cata de vinos u otros alimentos.
- Efeto: no es una palabra reconocida en español. Puede ser un error ortográfico o una palabra en otro idioma.
- Respeto: sentimiento de admiración y consideración hacia otra persona, así como también el cumplimiento de normas y reconocimiento de derechos ajenos."
Spain,"Qué significa: e, et; non, no; nós; í	","y, e; no; nosotros; ahí","Estas son palabras en gallego, un idioma hablado en Galicia, en el noroeste de España. Aquí te explico su significado:

- e: significa ""y"" en español.
- et: es la forma de decir ""y"" en gallego, también se puede utilizar ""e"".
- non: significa ""no"" en español.
- no: es la forma de decir ""no"" en gallego.
- nós: significa ""nosotros"" en español.
- í: significa ""yo"" en español."
Spain,"Qué significa: estava; ove, avié; far/fer/fazer, fezist(e)/fizist(e)	","estaba; hube, había; hacer, hiciste","Estava: en español significa ""estaba"", forma en pretérito imperfecto del verbo ""estar"".

Ove: en español significa ""ovino"", referente a los animales como ovejas.

Avié: en español significa ""aviar"", que se refiere a preparar aves para el consumo.

Far/fer/fazer: en español significa ""hacer"", referente a la acción de realizar o crear algo.

Fezist(e)/fizist(e): en español significa ""hiciste"", forma en pretérito perfecto del verbo ""hacer"". Indica una acción pasada realizada por la segunda persona del singular (tú) o trato informal."
Spain,"Qué significa: omne/omre/ombre, mugier/muger, ifante	","hombre, mujer, infante","Estas palabras son errores ortográficos comunes de las palabras en español:

- Omne/Omre/Ombre: palabras incorrectas que intentan escribir ""hombre"", que significa ""persona de sexo masculino"".

- Mugier/Muger: palabras incorrectas que intentan escribir ""mujer"", que significa ""persona de sexo femenino"".

- Ifante: palabra incorrecta que intenta escribir ""infante"", que puede referirse a un niño pequeño o a un príncipe o princesa de la realeza."
Spain,"Qué significa: cras, man, mañana; nunqua/nunquas	","mañana, nunca","""Cras"" significa ""mañana"" en latín.
""Man"" significa ""mañana"" en gaélico y en islandés.
""Mañana"" significa ""morning"" en inglés.
""Nunqua"" significa ""nunca"" en latín.
""Nunquas"" significa ""nunca"" en español antiguo."
Spain,"Qué significa: quando, que, qui, commo/cuemo	","cuando, que, quien, como","""Quando"" significa ""cuando"" en español y se utiliza para indicar el momento en que algo sucede o sucederá.

""Que"" significa ""qué"" en español y se utiliza para hacer una pregunta o para indicar algo que se desconoce.

""Qui"" es una forma abreviada de ""qui"" en español y se utiliza para referirse a alguien de forma informal.

""Commo"" o ""cuemo"" no tienen un significado específico en español, puede ser una variante regional de la palabra ""cómo"" o simplemente una forma incorrecta de escribirla."
Spain,Qué significa: E Ruego a san peydro que me aiude a Rogar,Y ruego a San Pedro que me ayude a rogar,"""E Ruego a san Pedro que me ayude a Rogar"" significa que la persona está pidiendo la intercesión de San Pedro para que le ayude a orar o rogar por algo en particular. Se está encomendando a San Pedro para que le dé su apoyo y guía en sus plegarias."
Spain,"Qué significa: Por mio çid el campeador, que dios le curie de mal,","Por mi Cid el Campeador, que Dios le cuide del mal,","""Por mi señor el campeador, que Dios le cure de cualquier mal."""
Spain,"Qué significa: Quando oy nos partimos, en vida nos faz iuntar.","Cuando hoy partamos, haz que en vida nos juntemos otra vez.","La frase ""Quando oy nos partimos, en vida nos faz iuntar"" significa que cuando estamos separados en el presente, es lo que nos hace reunirnos en vida. Es decir, la distancia física o emocional que existe en el momento actual es lo que incita a que nos volvamos a unir y estar juntos."
Spain,"Qué significa: Ati adoro e creo de toda voluntad,","A ti te adoro y en ti creo de toda voluntad,","Esta frase significa ""Te adoro y creo de todo corazón"". Implica una profunda devoción y fe en la persona a la que se dirige la expresión."
Spain,Qué significa: Guay,Se utiliza para describir que lo estupendo que es algo,"""Guay"" es una expresión coloquial en español que se utiliza en algunos países hispanohablantes para indicar que algo es genial, excelente, emocionante o positivo. También puede usarse para expresar que algo está bien o que no hay problema. Por ejemplo: ""¡Esa película fue guay!"" o ""No te preocupes, está todo guay""."
Spain,Qué significa: Vale,Esta en la versión informal de “de acuerdo” ,"""Vale"" es una expresión que significa que algo está bien, aceptable o válido. También puede utilizarse como una forma de aceptación o acuerdo con lo que se está diciendo o proponiendo. También puede significar que se entiende lo que se ha dicho. En algunas regiones de habla hispana, ""vale"" se utiliza como un saludo informal, similar a ""hola"" o ""¿qué tal?""."
Spain,Qué significa: Chulo,“Un chulo” se utiliza para describir a una pesona que actúa de manera arrogante.,"""Chulo"" puede significar varias cosas dependiendo del contexto en el que se utilice:

1. En algunos países de América Latina, ""chulo"" puede referirse a algo que es bonito, atractivo o llamativo.

2. En España, ""chulo"" puede ser utilizado como un adjetivo para describir a una persona que se muestra prepotente, arrogante o presumido.

3. En el ámbito de la prostitución, un ""chulo"" es el individuo que controla y explota a las trabajadoras sexuales, a menudo mediante métodos coercitivos y abusivos. También se le conoce como ""padrote"" en algunos lugares."
Spain,Qué significa: Cutre,"La palabra “cutre” se utiliza para describir cosas, lugares y person asque son de mala calidad, barato o sucio","""Cutre"" es un adjetivo que se utiliza para describir algo de baja calidad, poco cuidado, de mal gusto o de aspecto descuidado. También puede referirse a algo vulgar, ordinario o de clase baja."
Spain,Qué significa: Tener mala leche,Esta es utilizada para personas que poseen un comportamiento de maldad o que tienen __intenciones dañinas__ hacia otra persona.,"""Tener mala leche"" es una expresión coloquial que se utiliza para referirse a una persona que es malintencionada, malhumorada o que suele comportarse de manera negativa o agresiva. También puede significar que una persona es tramposa o deshonesta."
Spain,Qué significa: Llueve sobre mojado,Esta es una frase que se utiliza para expresar que ha ocurrido una situación mala y que a esta le han seguido otras situaciones aún peores,"Esta expresión se utiliza para indicar que una situación ya complicada o difícil se vuelve aún más complicada o difícil debido a la intervención de nuevas circunstancias adversas. Es decir, cuando algo malo se suma a algo que ya era malo o difícil."
Spain,Qué significa: Tener vista de lince,"Cuando una persona tiene una excelente vista, puede decirse que tiene vista de lince, haciendo la asociación con este animal.","Tener vista de lince es una expresión que se refiere a tener una vista muy aguda y precisa, similar a la que se atribuye al ojo del lince, que es un animal depredador conocido por su excelente capacidad visual. Esta expresión se utiliza para referirse a una persona que tiene una gran capacidad para percibir detalles y observar cosas que otras personas podrían pasar por alto."
Spain,Qué significa: Tornar-m-é a Jherusalem,Regresaré a Jerusalén.,"""Volveré a Jerusalén"" en catalán. Es una expresión que muestra el deseo o intención de regresar a la ciudad de Jerusalén."
Spain,Qué significa: En pennar gelo he por lo que fuere guisado ,Se lo empeñaré por lo que sea razonable,"Esta frase no tiene un significado claro en español. Parece ser una mezcla de palabras en diferentes idiomas que no forman una oración coherente. ""Pennar"" podría ser una palabra en sueco que significa ""escribir"", ""gelo"" podría referirse a ""helado"" en italiano, y ""guisado"" es una palabra en español que significa ""cocinado"". En general, la frase no tiene un significado claro y parece una combinación de palabras aleatorias."
Spain,"¿Qué significa la palabra ""perro"" en español?","""Perro"" se refiere a un animal doméstico de la familia de los cánidos.","""Perro"" en español se refiere a un animal doméstico de la familia de los cánidos, conocido comúnmente como perro doméstico o can. También puede ser utilizado como un insulto hacia una persona."
German,Was bedeutet: Gemorje!,Guten Morgen!,"""Gemorje"" ist ein gängiger Gruß auf den Fidschi-Inseln und bedeutet so viel wie ""Guten Tag"" oder ""Hallo"". Es wird normalerweise verwendet, um jemanden zu grüßen oder sich vorzustellen."
German,Was bedeutet: Heit is a scheena Dog,Heute ist ein schöner Tag.,"""Heit is a scheena Dog"" ist ein bairischer (bayerischer) Ausdruck und bedeutet ""Heute ist ein schöner Tag"". Die Redewendung wird oft verwendet, um zu betonen, dass das Wetter schön ist oder dass man sich einfach über den Tag freut."
German,Was bedeutet: I moan scho a,Ich meine auch,"""I moan scho a"" ist umgangssprachlich und stammt aus dem bayerischen Dialekt. Es bedeutet so viel wie ""Ich bin schon lange dabei"" oder ""Ich mache das schon eine Weile"". Es kann verwendet werden, um auszudrücken, dass man etwas bereits kennt, geübt ist oder Erfahrung in einer bestimmten Angelegenheit hat."
German,Was bedeutet: I versteh di ned,Ich verstehe dich nicht,"""Ich verstehe dich nicht"""
German,Was bedeutet: Kanntn Sie mia helfa,Kannst du mir helfen,"""Kannt Sie mia helfa"" ist eine fehlerhafte Schreibweise von ""Können Sie mir helfen?"" auf Deutsch. Es bedeutet ""Können Sie mir helfen?"" auf Englisch."
German,"Was bedeutet: In alten tiden wāren wīsenti, thie hārte strongu wārun.","In alten Zeiten waren Wisente, die sehr stark waren","Dieser Satz bedeutet auf Altenglisch: ""In alten Zeiten waren die Weisen, die starken Herzen hatten""."
German,Was bedeutet: haz wāter ist kalta.,Das Wasser ist kalt.,Das bedeutet auf Deutsch „Das Wasser ist kalt“.
German,Was bedeutet: Ih gihōrta dāt seggen.,Ich hörte das sagen.,"Dies ist ein Satz auf Altenglisch und bedeutet auf Deutsch: ""Ich habe das gehört, sage es mir."""
German,Was bedeutet: Wir suln lobēn God.,Wir sollen Gott loben.,"Das bedeutet: ""Wir sollen Gott loben."""
German,"Was bedeutet: Diu werlt was gelf, grüene unde rôt","Die Welt war gelb, grün und rot","Es handelt sich um einen mittelalterlichen Ausdruck auf Mittelhochdeutsch, der übersetzt bedeutet: ""Die Welt war gelb, grün und rot"". Dieser Satz beschreibt die Vielfalt und Schönheit der Welt in verschiedenen Farben."
German,"Was bedeutet: Ich han min lehen, al diu werlt, ich han min lehen","Ich habe mein Lehen, die ganze Welt, ich habe mein Lehen","""Ich habe mein Lehen, die ganze Welt, ich habe mein Lehen"" - Dieser Satz könnte eine metaphorische Aussage darüber sein, dass man sein Leben und seine Rolle in der Welt akzeptiert und damit zufrieden ist. Ein ""Lehen"" bezeichnet traditionell ein vererbtes Besitztum oder eine Stellung, die jemandem zusteht."
German,Was bedeutet: Swie harte daz herze mîn in dem lîbe klage,Wie sehr mein Herz in meinem Körper klagt,"Dies ist ein Ausschnitt aus einem mittelalterlichen Minnesangtext, der auf mittelhochdeutsch verfasst ist. Die Zeile bedeutet übersetzt: ""Wie hart das mein Herz in der Liebe klagt."" Der Text drückt das Leiden und die Sehnsucht des lyrischen Ichs nach seiner Geliebten aus."
German,Was bedeutet „Stau“?,Verkehrsstockung,"Ein „Stau“ bezieht sich auf eine Verkehrssituation, bei der Fahrzeuge auf einer Straße oder Autobahn aufgrund von Überlastung oder Blockaden nicht oder nur langsam vorankommen können. Dies führt zu einem Stillstand oder zu einem stark verlangsamten Verkehrsfluss."
German,Was ist die Bedeutung von „krass“ in dem Satz: „Das Konzert war krass!“?,Unglaublich,"""Krass"" wird in diesem Zusammenhang verwendet, um auszudrücken, dass das Konzert außergewöhnlich, beeindruckend oder intensiv war. Es zeigt an, dass der Sprecher das Konzert als überdurchschnittlich gut empfunden hat."
German,Was bedeutet das Wort „Handy“ im deutschen Sprachgebrauch?,Mobiltelefon,"Im deutschen Sprachgebrauch wird das Wort ""Handy"" als umgangssprachlicher Ausdruck für ein Mobiltelefon verwendet. Es bezeichnet ein tragbares Telekommunikationsgerät, das zur drahtlosen Kommunikation verwendet wird."
German,Was bedeutet hat der Ausdruck „Ich bin blau“?,Ich bin betrunken,"""Ich bin blau"" ist eine umgangssprachliche Redewendung, die bedeutet, dass jemand betrunken ist."
German,Was bedeutet „LOL“ im Kontext von Internetkommunikation auf Deutsch?,Laughing Out Loud,"""LOL"" steht für ""Laughing Out Loud"" und wird im deutschen als ""laut lachen"" oder ""sich kaputtlachen"" übersetzt. Es wird häufig verwendet, um zu zeigen, dass etwas lustig oder humorvoll ist."
German,Was wird mit „Facepalm“ ausgedrückt?,Enttäuschung oder Frustration,"""Facepalm"" wird normalerweise verwendet, um Frustration, Verlegenheit oder Enttäuschung über etwas auszudrücken, das jemand gesagt oder getan hat. Es zeigt, dass die Person enttäuscht oder genervt ist und sich über die Dummheit oder Unfähigkeit einer anderen Person ärgert."
German,Was ist die Bedeutung von „Facepalm“?,Eine Geste der Frustration.,"""Facepalm"" ist ein Ausdruck, der verwendet wird, um Frustration, Enttäuschung oder Verlegenheit auszudrücken. Oftmals wird der Ausdruck verwendet, wenn jemand etwas Offensichtliches oder Dummes sagt oder tut und man einfach nur den Kopf in die Hand legen möchte. Der Begriff stammt ursprünglich aus der Popkultur und wird oft humorvoll verwendet."
German,Was bedeutet „IDK“ in Chats?, Ich weiß nicht.,"„IDK“ steht für ""I don't know"" und bedeutet auf Deutsch ""Ich weiß es nicht"". Es wird häufig in Chats verwendet, um auszudrücken, dass man keine Antwort oder keine Ahnung zu einer bestimmten Frage hat."
French,Que signifie: Amors de terra nova.,Amour de terre nouvelle.,"""Amors de terra nova"" signifie ""amour de terre nouvelle"" en français. Cela peut être interprété comme un amour naissant, un amour frais et nouveau, ou un amour pour une nouvelle terre ou un nouvel endroit."
French,Que signifie: ne sai que faire ,je ne sais quoi faire,"""Ne sai que faire"" signifie ""je ne sais que faire"", c'est-à-dire que la personne ne sait pas quoi faire dans une situation donnée, qu'elle est indécise ou perdue."
French,"Que signifie: Buona pulcella fut Eulalia. Bel avret corps, bellezour anima.",Eulalie était une bonne jeune fille. Elle avait le corps beau et l'âme plus belle encore.,"Cette phrase signifie en français ""Bonne jeune fille fut Eulalie. Beau corps, belle âme""."
French,"Que signifie: Voldrent la veintre li Deo inimi,Voldrent la faire diaule servir.",Les ennemis de Dieu voulurent la vaincre;Ils voulurent lui faire servir le Diable.,"Cela signifie: ""Ils veulent aimer Dieu en tant qu'ennemis, ils veulent servir le diable."""
French,Que signifie: Ne por or ned argent ne paramenz,"Ni pour de l'or, ni pour de l'argent, ni pour des bijoux","Cela signifie ""Ni pour or ni pour argent ni pour paiements"". C'est une expression ancienne qui signifie qu'une action ou décision ne peut être achetée, influencée ou corrompue par de l'argent ou d'autres moyens de paiement."
French,"Que signifie: E por o fut presentede Maximiien, Chi rex eret a cels dis soure pagiens",Et pour cette raison elle fut présentée à Maximien Qui était en ces temps-là le roi des païens .,"Cela signifie: ""Et pour l'audacieux Maxime, qui était roi des Celtes de ce côté de la mer."""
French,"Que signifie: Il li enortet, dont lei nonque chielt, Qued elle fuiet lo nom chrest iien. ","Il lui ordonna, mais peu lui chaut, De renoncer au titre de chrétienne.","Il lui demande, dont elle répond, Ce qu'elle fuit le nom du Christ."
French,"Que signifie: Pro Deo amur et pro christian poblo et nostro comun salvament, d'ist di in avant, in quant Deus savir et podir me dunat, si salvarai eo cist meon fradre Karlo, et in adjudha et in cadhuna cosa si cum om per dreit son fradra salvar dift, in o quid il mi altresi fazet; et ab Ludher nul plaid nunquam prindrai qui meon vol cist meon fradre Karlo in damno sit.","Pro Dei amore et pro Christiano poplo et nostro communi salvamento, de ista die in abante, in quantum Deus sapere et potire mî donat, sic salvaro ego eccistum meum fratrem Karlum, et in adjutum ero in quâque una cosa sic quomodo homo per derectum suum fratrem salvare debet, in hoc quid ille mî alterumsic faceret; et ab Lothario nullum placitum numquam prendero quod meo volle eccisti meo fratri Karlo in damno sit.","Cela signifie: Pour l'amour de Dieu et pour le peuple chrétien et notre salut commun, à partir de ce jour, autant que Dieu me donnera savoir et pouvoir, je soutiendrai mon frère Charles, et je l'aiderai en tout comme on doit légitimement soutenir son frère, dans la mesure où il me fera de même; et je ne prendrai jamais de décision contraire à mon frère Charles en faveur de Ludher, si cela doit lui porter préjudice."
French,"Que signifie: Si Lodhuwigs sagrament que son fradre Karlo jurat, conservat, et Karlus meos sendra, de sua part, non lostanit, si io returnar non l'int pois, ne io, ne seuls cui eo returnar int pois, in nulla adjudha contra Lodhuvvigs nun li iv er.","Si Louis garde le serment que à son frère Charles il a juré, et Charles, mon seigneur, de sa part, ne le tient, si je ne l'en puis détourner, ni moi, ni nul que j'en puis détourner, en nulle aide contre Louis ne lui en cela serai.","Cette phrase est en ancien occitan et signifie : ""Si Louis garde le serment que son frère Charles a juré, et que Charles, mon seigneur, de son côté, ne lui manque pas sa parole, si je ne peux pas le retourner, ni moi, ni ceux vers qui je pourrais le retourner, ne devrons en rien contester à Louis quoi que ce soit."""
French,Que signifie: Être dans le coaltar,"Cela signifie ""être dans un état second""","L'expression ""être dans le coaltar"" signifie être dans un état de confusion, de désorientation, d'ivresse ou de fatigue intense. Elle est souvent utilisée pour décrire quelqu'un qui est très fatigué ou dépassé par les événements."
French,"Que signifie: Ah, c’est marrant, j’savais pas.","Ah, c’est marrant, je ne savais pas","Cela signifie ""Ah, c'est amusant, je ne savais pas."""
French,Que signifie: Il y a vachement de monde. ,Il y a beaucoup de monde.,"Cela signifie qu'il y a beaucoup de monde, un grand nombre de personnes présentes à un endroit donné."
French,"Que signifie: Oh, tu es trop gentille !",Merci beaucoup !,"""Cela signifie que la personne qui parle trouve que la personne à laquelle elle s'adresse est très gentille et aimable."""
