Language,Question,Standard Answer,Generated Answer,generated_data_extracted,
English,"The steam engine was quickly put to use in several industries in Britain. It drained mines and made possible the production of ever more coal to feed steam engines elsewhere. The steam power plant began to replace waterpower in the cotton-spinning mills as well as other industries during the 1780s, contributing to a phenomenal rise in industrialization. The British iron industry was radically transformed. The use of powerful, steam-driven bellows in blast furnaces helped iron makers switch over rapidly from limited charcoal to unlimited coke (which is made from coal) in the smelting of pig iron (the process of refining impure iron) after 1770 in the 1780s, Henry Cort developed the puddling furnace, which allowed pig iron to be refined in turn with coke. Cort also developed heavy-duty, steam-powered rolling mills, which were capable of producing finished iron in every shape and form.Which of the following is NOT mentioned in paragraph as a development that greatly changed the production of iron?
AThe use of coke in the smelting of pig iron
BThe invention of a furnace that used coke to refine iron
CThe discovery of a method for increasing the production of charcoal
DThe invention of powerful machinery that could shape, form, and finish iron",C,C,C,1
English,"The economic consequence of these technical innovations in steam power was a great boom in the British iron industry. In 1740 annual British iron production was only 17,000 tons, but by 1844, with the spread of coke smelting and the impact of Cort’s inventions, it had increased to 3,000,000 tons. This was a truly amazing expansion. Once scarce and expensive, iron became cheap, basic, and indispensable to the economy.In paragraph, why does the author compare British iron production in 1740 with that of 1844?
ATo contrast the amounts of iron needed in Britain in two different centuries
BTo illustrate how easy it was to make money using Cort’s invention
CTo demonstrate the tremendous growth of the iron industry in Britain
DTo demonstrate how inexpensive coal had become",C,C,C,1
English,"The economic consequence of these technical innovations in steam power was a great boom in the British iron industry. In 1740 annual British iron production was only 17,000 tons, but by 1844, with the spread of coke smelting and the impact of Cort’s inventions, it had increased to 3,000,000 tons. This was a truly amazing expansion. Once scarce and expensive, iron became cheap, basic, and indispensable to the economy.The word “indispensable” in the passage is closest in meaning to
Aadvantageous
Bessential
Cless costly
Dhighly stimulating",B,B,B,1
English,"Spartina alterniflora, known as cordgrass, is a deciduous, perennial flowering plant native to the Atlantic coast and the Gulf Coast of the United States. It is the dominant native species of the lower salt marshes along these coasts, where it grows in the intertidal zone (the area covered by water some parts of the day and exposed others).According to paragraph, each of the following is true of Spartina alrerniflora EXCEPT:
A.It rarely flowers in salt marshes.
B.It grows well in intertidal zones.
C.It is commonly referred to as cordgrass.
D.It occurs naturally along the Gulf Coast and the Atlantic coast of the United States.",A,A,A,1
English,"These natural salt marshes are among the most productive habitats in the marine environment. Nutrient-rich water is brought to the wetlands during each high tide, making a high rate of food production possible. As the seaweed and marsh grass leaves die, bacteria break down the plant material, and insects, small shrimplike organisms, fiddler crabs, and marsh snails eat the decaying plant tissue, digest it, and excrete wastes high in nutrients. Numerous insects occupy the marsh, feeding on living or dead cordgrass tissue, and redwing blackbirds, sparrows, rodents, rabbits, and deer feed directly on the cordgrass. Each tidal cycle carries plant material into the offshore water to be used by the subtidal organisms.According to paragraph , a major reason why natural salt marshes are so productive is that they are
Ainhabited by long-lived seaweed and marsh grasses that reproduce gradually
Bkept clear of excess plant material by the tides
Cregularly supplied with high levels of nutrients
Dhome to a wide variety of different species of grasses",C,C,C,1
English,"Spartina is an exceedingly competitive plant. It spreads primarily by underground stems; colonies form when pieces of the root system or whole plants float into an area and take root or when seeds float into a suitable area and germinate. Spartina establishes itself on substrates ranging from sand and silt to gravel and cobble and is tolerant of salinities ranging from that of near freshwater (0.05 percent) to that of salt water (3.5 percent). Because they lack oxygen, marsh sediments are high in sulfides that are toxic to most plants. Spartina has the ability to take up sulfides and convert them to sulfate, a form of sulfur that the plant can use; this ability makes it easier for the grass to colonize marsh environments. Another adaptive advantage is Spartina’s ability to use carbon dioxide more efficiently than most other plants.What is the organizational structure of paragraph?
AIt makes a general claim about Spartina and then provides specific evidence to defend that claim against objections to the claim.
BIt presents a general characterization of Spartina and then describes particular features on which this characterization is based.
CIt reports a widely held view about Spartina and then considers evidence both for and against that view.
DIt presents a general hypothesis about Spartina and then lists specific evidence that disputes that hypothesis.",B,B,B,1
English,"Spartina is an exceedingly competitive plant. It spreads primarily by underground stems; colonies form when pieces of the root system or whole plants float into an area and take root or when seeds float into a suitable area and germinate. Spartina establishes itself on substrates ranging from sand and silt to gravel and cobble and is tolerant of salinities ranging from that of near freshwater (0.05 percent) to that of salt water (3.5 percent). Because they lack oxygen, marsh sediments are high in sulfides that are toxic to most plants. Spartina has the ability to take up sulfides and convert them to sulfate, a form of sulfur that the plant can use; this ability makes it easier for the grass to colonize marsh environments. Another adaptive advantage is Spartina’s ability to use carbon dioxide more efficiently than most other plants.The word ""exceedingly"" in the passage is closest in meaning to
Aunusually
Bdangerously
Csurprisingly
Dhighly",D,DHIGHLY,D,1
English,"These characteristics make Spartina a valuable component of the estuaries where it occurs naturally. The plant functions as a stabilizer and a sediment trap and as a nursery area for estuarine fish and shellfish. Once established, a stand of Spartina begins to trap sediment, changing the substrate elevation, and eventually the stand evolves into a high marsh system where Spartina is gradually displaced by higher-elevation, brackish-water species. As elevation increases, narrow, deep channels of water form throughout the marsh. Along the east coast Spartina is considered valuable for its ability to prevent erosion and marshland deterioration; it is also used for coastal restoration projects and the creation of new wetland sites.Paragraph suggests that where Spartina occurs naturally, an established stand of it will eventually
Acreate conditions in which it can no longer survive
Bget washed away by water flowing through the deep channels that form around it
Cbecome adapted to brackish water
Dtake over other grass species growing in the area",A,C,C,0
English,"These characteristics make Spartina a valuable component of the estuaries where it occurs naturally. The plant functions as a stabilizer and a sediment trap and as a nursery area for estuarine fish and shellfish. Once established, a stand of Spartina begins to trap sediment, changing the substrate elevation, and eventually the stand evolves into a high marsh system where Spartina is gradually displaced by higher-elevation, brackish-water species. As elevation increases, narrow, deep channels of water form throughout the marsh. Along the east coast Spartina is considered valuable for its ability to prevent erosion and marshland deterioration; it is also used for coastal restoration projects and the creation of new wetland sites.According to paragraph, in its natural habitats, Spartina helps estuaries by
Acontrolling marshland decline
Bdecreasing the substrate elevation
Creducing the brackishness of the water
Dincreasing the flow of water into the estuary",A,A,A,1
English,"Spartina was transported to Washington State in packing materials for oysters transplanted from the east coast in 1894. Leaving its insect predators behind, the cordgrass has been spreading slowly and steadily along Washington’s tidal estuaries on the west coast, crowding out the native plants and drastically altering the landscape by trapping sediment. Spartina modifies tidal mudflats, turning them into high marshes inhospitable to the many fish and waterfowl that depend on the mudflats. It is already hampering the oyster harvest and the Dungeness crab fishery, and it interferes with the recreational use of beaches and waterfronts. Spartina has been transplanted to England and to New Zealand for land reclamation and shoreline stabilization. In New Zealand the plant has spread rapidly, changing mudflats with marshy fringes to extensive salt meadows and reducing the number and kinds of birds and animals that use the marsh.According to paragraph, Spartina negatively affects wildlife in estuaries by
A trapping fish and waterfowl in sediment
B preventing oysters from transplanting successfully
C turning mudflats into high marshes and salt meadows
D expanding the marshy fringes of salt meadows",C,A,A,0
English,"Spartina was transported to Washington State in packing materials for oysters transplanted from the east coast in 1894. Leaving its insect predators behind, the cordgrass has been spreading slowly and steadily along Washington’s tidal estuaries on the west coast, crowding out the native plants and drastically altering the landscape by trapping sediment. Spartina modifies tidal mudflats, turning them into high marshes inhospitable to the many fish and waterfowl that depend on the mudflats. It is already hampering the oyster harvest and the Dungeness crab fishery, and it interferes with the recreational use of beaches and waterfronts. Spartina has been transplanted to England and to New Zealand for land reclamation and shoreline stabilization. In New Zealand the plant has spread rapidly, changing mudflats with marshy fringes to extensive salt meadows and reducing the number and kinds of birds and animals that use the marsh.The word ""modifies"" in the passage is closest in meaning to
A creates
B changes
C grows on
D breaks down",B,B. CHANGES,B,1
English,"Efforts to control Spartina outside its natural environment have included burning, flooding, shading plants with black canvas or plastic, smothering the plants with dredged materials or clay, applying herbicide, and mowing repeatedly. Little success has been reported in New Zealand and England; Washington State’s management program has tried many of these methods and is presently using the herbicide glyphosphate to control its spread. Work has begun to determine the feasibility of using insects as biological controls, but effective biological controls are considered years away. Even with a massive effort, it is doubtful that complete eradication of Spartina from nonnative habitats is possible, for it has become an integral part of these shorelines and estuaries during the last 100 to 200 years.According to paragraph, each of the following methods has been used in attempts to control Spartina EXCEPT
A flooding plants
B cutting plants down repeatedly
C applying herbicides
D introducing predatory insects",D,D,D,1
English,"Efforts to control Spartina outside its natural environment have included burning, flooding, shading plants with black canvas or plastic, smothering the plants with dredged materials or clay, applying herbicide, and mowing repeatedly. Little success has been reported in New Zealand and England; Washington State’s management program has tried many of these methods and is presently using the herbicide glyphosphate to control its spread. Work has begun to determine the feasibility of using insects as biological controls, but effective biological controls are considered years away. Even with a massive effort, it is doubtful that complete eradication of Spartina from nonnative habitats is possible, for it has become an integral part of these shorelines and estuaries during the last 100 to 200 years.The word ""Efforts"" in the passage is closest in meaning to
A Laws
B Suggestions
C Attempts
D Failures",,C_ATTEMPTS,C,0
English,"Nothing divided the medieval world in Europe more decisively from the Early Modern period than printing with movable type. It was a German invention and the culmination of a complex process. The world of antiquity had recorded its writings mainly on papyrus. Between 200 B.C and A.D 300, this was supplemented by vellum, calf skin treated and then smoothed by pumice stone. To this in late Roman times was added parchment, similarly made from the smoothed skin of sheep or goats. In the early Middle Ages, Europe imported an industrial process from China, which turned almost any kind of fibrous material into pulp that was then spread in sheets. This was known as cloth parchment. By about 1150 the Spanish had developed the first mill for making cheap paper (a word contracted from ""papyrus"", which became the standard term). One of the most important phenomena of the later Middle Ages was the growing availability of cheap paper. Even in England, where technology lagged far behind, a sheet of paper, or eight octavo pages, cost only a penny by the fifteenth century.The word this in the passage refers to
A parchment
B pumice stone
C Calf skin
D Papyrus",D,A PARCHMENT,A,0
Chinese,"高中生与初中生相比，在做出判断和决定前能更多地 各种事实和可能
性， 行动的各种可能后果，决定一旦做出也能更 地见诸行动。
A 考察 预料 明显 B 考虑 预计 迅速
C 考验 预见 充分 D 思考 预测 显著",B,C考验 预见 充分,C,0
Chinese,"电影最大的乐趣，在于营造出一个独具 的光影世界，在这个世界里，
不仅可以使人得到 和娱乐，更可以有所感悟和回味，充分 到“电
影是浓缩的人生”这一特点。
A 魅力 放松 体会 B 力量 轻松 理解
C 特色 趣味 意识 D 见解 休息 反应",A,B,B,0
Chinese,"我们要学会 自己的心情，而不是让别人决定你的心情，要 自己
对别人坏情绪的“免疫力”，只有这样才能每天 一份好心情。
A 支配 减少 得到 B 控制 加强 拥有
C 限制 增强 享受 D 掌握 减弱 充满",B,B,B,1
Chinese,"川菜品种 、味道多变， “一菜一格，百菜百味”的美誉。川菜
的这种独特的风格也 国内外人们的青睐，许多人发出“食在中国，味
在四川”的 。
A 丰富 享有 赢得 赞叹
B 多样 具有 招收 赞赏
C 繁多 形成 吸引 赞扬
D 丰满 达到 造成 赞美",A,B  MULTIFACETED GOURMET_legacy,B,0
Chinese,"喜鹊是自古以来深受人们喜爱的鸟类，是好运与福气的象征。喜鹊登梅是中
国画中非常常见的 ，它还经常出现在中国传统诗歌、对联中。此外，
在中国的民间 中，每年的七夕，人间所有的喜鹊会飞上天河， 起
一座鹊桥，让分离的牛郎和织女相会， 在中华文化中鹊桥常常成为男
女情缘的象征。
A 作品 节目 架 因此
B 主题 故事 连 总之
C 题材 传说 搭 因而
D 材料 风俗 组 于是",C,B 主题 故事 连 总之,B,0
Chinese,"有这样一群人，他们 工作，只要工作 ，他们就会变换住处，
 变换生活的城市，所以他们 搬家。
A 愿意 希望 而且 等待
B 喜欢 要求 宁可 往往
C 热爱 需要 甚至 习惯
D 追求 需求 并且 频繁",C,C热爱需要甚至习惯,C,1
Chinese,"大多数人失败并非由于他们才智平庸，也不是因为 不好，而是由于没
有保持一种 的心态，才使得自己最终无法触摸到 的终点线。与
其说他们是在与别人的竞争中失利， 说他们败给自己不成熟的心态。
A 能力 良好 权力 那么
B 运气 健康 成功 不如
C 感情 愉快 胜利 但是
D 背景 自然 命运 或者",B,D,D,0
Chinese,"天津剪纸可谓历史悠久， 于清朝光绪末年，后在不断汲取和 中
国传统剪纸工艺的基础上发展到今天。天津剪纸的艺术风格、制作方法
 有独到之处。它 了年画、瓷器、木雕等图案的设计，注意外形
刻画，具有很高的艺术价值。
A 兴建 发挥 都 借助
B 成立 发掘 就 反映
C 起源 发行 还 吸收
D  兴起 发扬 均 借鉴",D,C 吸收,C,0
Chinese,"打哈欠是人类的一种本能行为，非 意志所能控制。当一个人受到劳累、
睡意等因素的 时，会引起相关分子大量分泌，进而引起“哈欠中
枢” ，随即向人体肌肉发出“指令”，有关的肌肉严格 “指令”
运动，于是，一个哈欠 了。
A 主观 刺激 兴奋 遵照 诞生
B 客观 袭击 异常 采取 产生
C 自身 打扰 快乐 贯彻 发生
D 自我 麻烦 激动 服从 出生",A,C发生,C,0
Chinese,"．孩子一旦做错了事，总是会 父母责备他，如果正如他所想的那样，
父母责备了他，孩子反而会有一种“如释重负”的感觉，对批评和自己所犯
的过错也就 了。相反，如果父母 沉默，孩子的心里反而
会 ，会感到“不自在”，进而反思自己的错误。
A 担忧 漠不关心 维持 平静
B 忧虑 无所作为 坚持 慌张
C 害怕 不言而喻 支持 谨慎
D 担心 不以为然 保持 紧张 ",D,B,B,0
Chinese,"墨西哥
城 在 北 纬 不 到 20 度 、 海 拔 2240 米处，（75） ，正因为地心引力相对较小，运
动健儿们奇迹般地一举打破了男子 100 米、200 米、400 米、4×400 接力赛、男子跳远和三级跳远等多项世界纪录，1980 年也因此成为奥运会历史上最辉煌的年代之一。
A 地球重力的地区差异
B 比一般城市远离地心 1500 米
C 原来是地球的重力“偷”走了鱼
D 归途中平平安安
E 地球的重力值也随之减少",B,A 地球重力的地区差异,A,0
Chinese,"造纸术，为文明传承带来了新的载体；印刷术，造就
了文明传播的新媒介。它们对人类政治、经济、文化等诸多方面产生了重要影响，
为世界文明的传播与发展做出了巨大贡献。
中国发明印刷术有着得天独厚的物质基础与技术条件。纸和墨的应用是印刷
术发明的基本前提。（77） 。秦晚期已有调制成型的墨丸；汉代已使
用松烟中的炭黑制墨；南北朝时期，中国已掌握了成
熟的制墨技术。作为纸的发明国，早在印刷术发明以
前，中国的造纸术就经历了辉煌的发展历程。西汉时
期，中国已发明了纸。
A 造纸术和印刷术是中国古代的两项重要发明
B 改进造纸工艺
C 纸终于成为主要的书写材料
D 中国很早就已发现并使用墨
E 带来了书写材料的根本性变革",D ,A 造纸术和印刷术是中国古代的两项重要发明,A,0
Chinese,"请回答81-74。  每次坐长途汽车，我总是希望和美女同座，但是，每次都会失望，这次也一
样，一个提着大包小包的老太太坐在了我的旁边。
她要去上海，儿子请她过去帮忙做饭。她不会讲普通话，可十分健谈，不断
地问我“十万个为什么”，我也尽可能陪她聊天。
快到上海了，老太太不安地问我：“我在北站下车，你到哪个站？”我安慰
她，我跟她在同一站下车，我会带她下车的。我突然想，下车后，她怎么与她儿
子联系？我再次关切地问她：“您有您儿子的电话吗？”
她赶紧拿出她儿子的手机号码，我拨通了他儿子的电话。让我惊奇的是，我手机上马上显示出一个前几天刚加上的名字：某工程的项目经理。这真是太奇妙了，老太太的儿子居然就是我要
找的人，而且是我需要他帮忙的人！下车的时候，老太太拖住我，一定要她儿子感谢我这个好心人。几天后，我去找这个项目经理。在他办公室，他抬头一看是我，愣了一下，发现我就是一路照顾他妈妈的“好心人”。在感慨“世界真小”之后，他爽快地在工程合作单子上签了字。
原来，我的运气一点也不坏。这个老太太虽然不是美人，但却是我的“幸运女神”。

83．在车上，我对什么感到惊奇？
A 老太太找到了她的儿子 B 老太太有我的手机号码
C 我和老太太在同一个站下车 D 老太太的儿子是我要找的人
",D,B,B,0
