Language,Question,Standard Answer,Generated Answer,Ifcorrect
English,What does “ spam” mean？,"Unwanted or unsolicited emails, often advertising.","Spam refers to unsolicited and often irrelevant or inappropriate messages or content sent to a large number of recipients, typically through email or online messaging platforms. Spamming is a common tactic used by marketers, scammers, and hackers to promote products, services, or fraudulent schemes.",1
English,What does “ night owl” mean？,"Refers to people who go to bed late, usually people who like to be active or work at night.","A ""night owl"" is a colloquial term that refers to a person who stays up late into the night, or is most active and alert during the late hours of the evening. Night owls tend to have a preference for staying up late and have difficulty waking up early in the morning.",1
Chinese,这句话什么意思：學而時習之，不亦說乎？有朋自遠方來，不亦樂乎？人不知而不慍，不亦君子乎？,經常學習，不也喜悅嗎？遠方來了朋友，不也快樂嗎？得不到理解而不怨恨，不也是君子嗎,这句话的意思是：学习并且时常实践，这样不也很开心吗？有朋友从远方来，不也很快乐吗？别人不了解我却不生气，这不也是君子的表现吗？,1
Chinese,这句话什么意思：吾日三省吾身：为人谋而不忠乎？与朋友交而不信乎？传不习乎？,我每天都要多次提醒自己：工作是否敬业？交友是否守信？知识是否用于实践？,这句话的意思是人们每天应该反省自己的行为：是否为他人谋划而不忠诚？与朋友交往而不真诚？传授知识而不勤思习？表达了对自我反省和真诚待人的要求。,1
Chinese,这句话什么意思：子曰：“温故而知新，可以为师矣。”,孔子说：“温习旧知识时，能有新收获，就可以做老师了。”,这句话的意思是说，通过不断回顾过去的经验和知识，以便获取新的见识和知识，这样就有资格成为别人的老师。老师应该是一个不断学习和提升自己的人，才能教导他人。,1
Chinese,这句话什么意思：子曰：“君子不器。”,孔子说：“君子不能象器皿一样，只有一种用途。”,这句话的意思是：孔子说：“君子不是容器。”意指君子不应该只是简单的容器，而是应该有内在的品德和修养。,1
Chinese,这句话什么意思：入国而不存其士，则亡国矣。见贤而不急，则缓其君矣。非贤无急，非士无与虑国，缓贤忘士而能以其国存者，未曾有也。,治国而不优待贤士，国家就会灭亡。见到贤士而不急于任用，他们就会怠慢君主。没有比用贤更急迫的了，若没有贤士，就没有人和自己谋划国事。怠慢遗弃贤士而能使国家长治久安的，还不曾有过。,这句话的意思是：如果国家中没有重视士人才，那么国家就会亡掉。如果看到有贤人却不迅速任用，那么国家的统治者就会受到影响。没有贤人做事情是急切的，也没有士人去考虑国家大事，忽视贤人和士人而还能让国家存续的情况，从没有过。,1
Chinese,这句话什么意思：兵者，国之大事，死生之地，存亡之道，不可不察也。,战争是关系国家存亡、民众生死的大事，必须高度重视,这句话的意思是：军队是国家的重要大事，是关系生死存亡的关键，必须慎重审慎。,1
Chinese,这句话什么意思：明月几时有？把酒问青天。,像中秋佳节如此明月几时能有？我拿着酒杯遥问苍天,这句话是出自唐代杜牧的《将进酒》诗，意思是在问明月何时才会出现，然后举起酒杯向天空祈祷。这句诗表达了诗人孤独无聊的心境，以及对自己的无奈和对未来的期待。,1
Chinese,这句话什么意思：长风破浪会有时，直挂云帆济沧海,相信乘风破浪的时机总会到来，到时定要扬起征帆，横渡沧海！,这句话的意思是：尽管会遇到困难和挑战，在坚持不懈的努力下，最终会成功。人生就像航海，只要披荆斩棘，砥砺前行，最终就能战胜一切困难取得成功。,1
Chinese,这句话什么意思：风急天高猿啸哀，渚清沙白鸟飞回。,风急天高猿猴啼叫显得十分悲哀，水清沙白的河洲上有鸟儿在急风中飞舞盘旋。,这句话是描写风急天高，猿猴在高山上哀鸣，湖泊清澈沙滩洁白，飞鸟回归的情景。整体描绘自然风光和动物的景象。,1
Chinese,这句话什么意思：空山新雨后，天气晚来秋。,新雨过后山谷里空旷清新，初秋傍晚的天气特别凉爽。,这句话意思是说在雨后的空山上，晚来的天气已经有了秋天的感觉。是在描述秋天的清凉和湿润的景象。,1
Chinese,这句话什么意思：借问酒家何处有？牧童遥指杏花村。,询问当地之人何处买酒消愁？牧童只是用手指了指杏花深处的村庄,这句话的意思是：请问酒馆在哪里？牧童远远指着杏花村。,1
Chinese,这句话什么意思：山不在高，有仙则名。水不在深，有龙则灵。,山不在于高，有了神仙就会有名气。水不在于深，有了龙就会有灵气。,这句话的意思是：山的高度并不重要，只要有仙人出现，它就会被赋予特殊的名望。水的深度也不重要，只要有龙神出现，它就会显现出神灵的力量。这句话表达了只要有特殊的存在加持，平凡的事物也能展现出特殊的魅力和力量。,1
Chinese,“小镇做题家”是什么意思？,指的是那些“出身小城，埋头苦读，擅长应试，但缺乏一定视野和资源的青年学子,“小镇做题家”通常指的是在某个小镇居住或者生活的人，尤其是指那些平日喜欢研究问题、解决难题或者参与考试的人。这个词汇可能源自于中国的社交媒体或者网络流行语，用来形容那些在小镇上过着安静生活、却有着执着求知欲的人。他们可能会花很多时间做各种各样的题目，从而提高自己的知识水平或者解决各种问题。,1
Chinese,“断舍离”是什么意思？,一种生活态度，意思是把那些不必需、不合适、过时的东西统统断绝、舍弃，并切断对它们的眷恋，“断舍离”之后才能过简单清爽的生活。,“断舍离”是一种日本整理思想，意为断掉不必要的束缚，舍弃多余的物品，脱离无用的烦扰，以达到轻松、简约、自由的生活状态。这种理念强调简化生活，减少杂物，更专注于自己真正需要和喜欢的事物，提高生活质量。,1
Chinese,“佛系青年”是什么意思？,这个词并不是指年轻人皈依佛教，而是指他们喜欢和平、不好冲突，而且往往安于现状，对物质没有过度的追求。,“佛系青年”是一种流行的日本网络用语，形容一种无所事事，平和安逸，不追求成就和成功的生活态度。这个词源自佛教的“无忧无虑”，意味着不为外界事物所累，保持内心的平和与宁静。在当代社会中，这个词常常被用来形容一些年轻人不求上进，毫无压力，过着随遇而安的生活。,1
Chinese,“吃瓜群众”是指什么？,热衷于观看事件发展的旁观者。,“吃瓜群众”通常指的是旁观群众，他们对事件并不直接参与，只是站在一旁看热闹或者关注事件的发展。这个词源自于网络用语，形象地比喻了这些人围观时吃着瓜果，享受着别人的故事而不做出任何实质性的行为。,1
Chinese,贵妃指的是什么？,皇帝的妻子,在中国古代，贵妃（皇后）通常指的是皇帝的主要妃子之一，地位在妃子中最高，也是最受宠爱的妃子。她通常具有非常高贵的出身和美貌，拥有特权和特殊待遇。在历史上，贵妃常常对朝廷政治有一定的影响力。,1
Chinese,“碰瓷”通常是指什么？,“碰瓷”原意指故意制造条件让对方撞上，然后敲诈勒索对方。现多指通过不正当手段获利的一种行为,"""碰瓷""通常是指一种欺诈行为，即某人刻意在车辆或行人经过时故意将自己摔倒或者碰伤，然后要求对方赔偿高额医疗费用或赔偿金的行为。这种行为通常是为了骗取不法利益。",1
Chinese,“同治中兴”是指什么？,指的是清朝同治年间，通过一系列的改革和整顿，国力有所恢复，社会经济有所发展的历史阶段。,“同治中兴”是指清朝同治年间（1862年-1874年）进行的一系列改革措施。在同治中兴时期，清政府试图通过一系列改革来挽救国家经济和政治危机，提升国力和国家治理能力。然而，由于种种原因，这些改革并没有取得较大成功，清朝最终还是在晚清时期被推翻。,1
Chinese,江山通常指的是什么？,常被用来指代整个国家、皇权或统治者的领土和权力。,江山通常指的是一个国家或地区的政治权力、社会地位和领土疆域。这个词语通常用来表示对一个国家或地区的统治权力和管理权力。,1
Spain,"Qué significa: acetar, catar, efeto, respeto	","aceptar, captar, efecto, respecto and respeto","acetar: aceptar algo de manera voluntaria
catar: probar o degustar un alimento o bebida para evaluar su sabor
efeto: error ortográfico, la forma correcta es ""efecto"", que se refiere a la consecuencia o resultado de algo
respeto: consideración, reverencia o reconocimiento hacia una persona o cosa",1
Spain,"Qué significa: e, et; non, no; nós; í	","y, e; no; nosotros; ahí","Estas son palabras en portugués:

- e: significa ""y""
- et: no tiene significado en portugués
- non: significa ""no"" 
- no: significa ""no"" 
- nós: significa ""nosotros"" 
- í: no tiene significado en portugués",0
Spain,"Qué significa: estava; ove, avié; far/fer/fazer, fezist(e)/fizist(e)	","estaba; hube, había; hacer, hiciste","Estava: significa ""estaba"" en español, en pasado del verbo ""estar"".

Ove: puede ser una palabra o nombre en algún idioma específico, sin embargo, en español no tiene un significado específico.

Avié: significa ""llegué"" en español, en pasado del verbo ""llegar"".

Far/fer/fazer: son formas dialectales antiguas del verbo ""hacer"" en español.

Fezist(e)/fizist(e): significa ""hiciste"" en español, en pasado del verbo ""hacer"".",1
Spain,"Qué significa: omne/omre/ombre, mugier/muger, ifante	","hombre, mujer, infante","- Omne/omre/ombre: Estas palabras son variantes arcaicas del término ""hombre"", utilizado en la Edad Media para referirse a una persona de sexo masculino. 
- Mugier/muger: Estas palabras son variantes arcaicas de ""mujer"", utilizadas en la Edad Media para referirse a una persona de sexo femenino. 
- Infante: Este término se refiere a un niño o niña de corta edad, especialmente en la Edad Media se utilizaba para referirse a un joven noble o de la realeza que no había alcanzado la edad adulta.",1
Spain,"Qué significa: cras, man, mañana; nunqua/nunquas	","mañana, nunca","""Cras, man, mañana"" significa ""mañana, mañana, mañana"" en latín y español respectivamente. Por otro lado, ""nunqua"" o ""nunquas"" significa ""nunca"" en latín.",1
Spain,"Qué significa: quando, que, qui, commo/cuemo	","cuando, que, quien, como","Estas palabras son variantes del español antiguo y se utilizaban para expresar ciertas ideas en diferentes contextos. A continuación se detalla su significado:

- Quando: significa ""cuando"" en español moderno, es decir, se refiere al momento temporal en el que ocurre algo.
- Que: puede tener múltiples significados, ya que es una palabra muy versátil en español, pero su uso en esta variante antigua generalmente se refiere a ""qué"" en español moderno, es decir, para preguntar por algo o expresar duda o indicar una diferencia.
- Qui: es una forma antigua del pronombre relativo ""quien"" en español moderno, utilizado para referirse a una persona en una oración.
- Commo/Cuemo: se utilizaba en el español antiguo para expresar la manera en que algo ocurría, es decir, se traduciría como ""cómo"" en español moderno.",1
Spain,Qué significa: E Ruego a san peydro que me aiude a Rogar,Y ruego a San Pedro que me ayude a rogar,"Esta frase está escrita con errores de ortografía y gramática. La forma correcta sería: ""Ruego a san Pedro que me ayude a rogar.""

Significa que la persona está pidiendo la intervención de San Pedro para que le ayude a orar o hacer una petición de manera adecuada y efectiva. La frase implica una devoción por parte de la persona hacia San Pedro y una búsqueda de ayuda espiritual para mejorar su relación con Dios.",1
Spain,"Qué significa: Por mio çid el campeador, que dios le curie de mal,","Por mi Cid el Campeador, que Dios le cuide del mal,","Esta frase significa ""Por mi Cid el Campeador, que Dios lo cure de su mal"", haciendo referencia a la necesidad de protección y bendición divina para el personaje de Rodrigo Díaz de Vivar, conocido como el Cid Campeador.",1
Spain,"Qué significa: Quando oy nos partimos, en vida nos faz iuntar.","Cuando hoy partamos, haz que en vida nos juntemos otra vez.","Este refrán en español significa que aproveches la vida al máximo y disfrutes de la compañía de tus seres queridos mientras estás vivo, ya que en algún momento todos nos separaremos y solo nos reuniremos después de la muerte. Es un recordatorio de la importancia de valorar y apreciar a las personas que tenemos a nuestro alrededor.",1
Spain,"Qué significa: Ati adoro e creo de toda voluntad,","A ti te adoro y en ti creo de toda voluntad,","Esto significa ""Te adoro y creo contigo con toda voluntad"". Es una expresión de devoción y fe en una persona o entidad.",1
Spain,Qué significa: Guay,Se utiliza para describir que lo estupendo que es algo,"""Guay"" es una expresión coloquial utilizada en España y otros países de habla hispana para indicar que algo es genial, emocionante, divertido o sorprendente. También puede significar estar de acuerdo con algo o algo que está bien o bien hecho.",1
Spain,Qué significa: Vale,Esta en la versión informal de “de acuerdo” ,"""Vale"" es una expresión comúnmente utilizada para indicar que algo está bien, aceptado o entendido. También puede significar estar de acuerdo con algo o conceder permiso. En algunas ocasiones, ""vale"" también se utiliza como sinónimo de ""de acuerdo"" o ""entendido"".",1
Spain,Qué significa: Chulo,“Un chulo” se utiliza para describir a una pesona que actúa de manera arrogante.,"""Chulo"" es una palabra que puede tener diferentes significados dependiendo del contexto en el que se utilice. Algunas posibles interpretaciones son las siguientes:

1. En el ámbito coloquial, ""chulo"" puede referirse a alguien que tiene actitudes de superioridad, arrogancia o prepotencia.
2. También puede utilizarse para describir algo de manera positiva, como algo que destaca por ser original, llamativo o interesante.
3. En algunos países de habla hispana, ""chulo"" puede hacer referencia a un proxeneta, es decir, una persona que se dedica a la explotación de la prostitución ajena.
4. En algunos contextos, especialmente en España, ""chulo"" puede hacer referencia a algo que está bien o que resulta agradable. Por ejemplo, ""Qué chulo es tu coche"".",1
Spain,Qué significa: Cutre,"La palabra “cutre” se utiliza para describir cosas, lugares y person asque son de mala calidad, barato o sucio","Cutre es una palabra coloquial en español que se utiliza para describir algo de mala calidad, de mal gusto o de aspecto descuidado. También puede referirse a algo que es barato o de baja categoría. Es una palabra peyorativa y despectiva que se utiliza para criticar algo que se percibe como poco cuidado o poco sofisticado.",1
Spain,Qué significa: Tener mala leche,Esta es utilizada para personas que poseen un comportamiento de maldad o que tienen __intenciones dañinas__ hacia otra persona.,"La expresión ""tener mala leche"" se refiere a tener una actitud agresiva, mala o hiriente hacia otras personas. También puede significar tener una actitud desagradable o malintencionada. Es una expresión coloquial utilizada para describir a alguien que es malicioso o desagradable en su trato con los demás.",1
Spain,Qué significa: Llueve sobre mojado,Esta es una frase que se utiliza para expresar que ha ocurrido una situación mala y que a esta le han seguido otras situaciones aún peores,"Esta expresión se utiliza para indicar que una situación complicada se está agravando aún más debido a nuevas circunstancias adversas que se suman a las ya existentes. Es decir, que algo malo se está volviendo aún peor.",1
Spain,Qué significa: Tener vista de lince,"Cuando una persona tiene una excelente vista, puede decirse que tiene vista de lince, haciendo la asociación con este animal.","Significa tener una excelente visión y capacidad de observación, similar a la agudeza visual y precisión de un lince. En sentido figurado, se refiere a tener una percepción astuta y aguda para detectar detalles y situaciones que pasan desapercibidos para la mayoría de las personas.",1
Spain,Qué significa: Tornar-m-é a Jherusalem,Regresaré a Jerusalén.,"""Tornar-m-é a Jherusalem"" es una frase en catalán que significa ""Volveré a Jerusalén"" en español. Es una expresión que puede utilizarse para expresar el deseo de regresar a Jerusalén en el futuro.",1
Spain,Qué significa: En pennar gelo he por lo que fuere guisado ,Se lo empeñaré por lo que sea razonable,Esta frase no tiene un significado claro en español. Parece que está mezclando palabras en diferentes idiomas o tiene un error tipográfico. No tiene un significado coherente en español.,0
Spain,"¿Qué significa la palabra ""perro"" en español?","""Perro"" se refiere a un animal doméstico de la familia de los cánidos.","Un perro es un mamífero carnívoro doméstico de la familia de los cánidos. Es un animal muy popular como mascota y se caracteriza por ser leal, fiel y cariñoso.",1
German,Was bedeutet: Gemorje!,Guten Morgen!,"""gemorje"" ist kein bekanntes Wort oder Ausdruck. Es könnte sich um einen Tippfehler oder Missverständnis handeln. Wenn du mehr Kontext gibst, kann ich dir vielleicht weiterhelfen.",1
German,Was bedeutet: Heit is a scheena Dog,Heute ist ein schöner Tag.,"""Heut ist ein schöner Tag"" - Dieser Satz ist in bayerischem Dialekt geschrieben und bedeutet, dass es an diesem Tag schön ist.",1
German,Was bedeutet: I moan scho a,Ich meine auch,"""I moan scho a"" bedeutet ""Ich tue es schon lange / schon eine Weile"". Es ist umgangssprachlich und wird oft im süddeutschen Raum, insbesondere in Bayern, verwendet.",1
German,Was bedeutet: I versteh di ned,Ich verstehe dich nicht,"""I versteh di ned"" ist bayerischer Dialekt und bedeutet ""Ich verstehe dich nicht"" or ""I versteh dich nicht"" auf Standarddeutsch.",1
German,Was bedeutet: Kanntn Sie mia helfa,Kannst du mir helfen,"Die Phrase ""Kannt Sie mia helfa"" scheint eine Mischung aus verschiedenen Sprachen zu sein. Es könnte eine versuchte schriftliche Darstellung eines Dialektes oder eines Akzents sein. Im Standarddeutschen geschrieben, würde es wahrscheinlich lauten: ""Können Sie mir helfen?"" - Das bedeutet, ob die Person in der Lage ist, mir zu helfen.",1
German,"Was bedeutet: In alten tiden wāren wīsenti, thie hārte strongu wārun.","In alten Zeiten waren Wisente, die sehr stark waren","Das bedeutet: In alten Zeiten waren wir klug, die Herzen stark.",1
German,Was bedeutet: haz wāter ist kalta.,Das Wasser ist kalt.,"Diese Aussage bedeutet: ""Das Wasser ist kalt."" in der lettischen Sprache.",1
German,Was bedeutet: Ih gihōrta dāt seggen.,Ich hörte das sagen.,"Dies ist Althochdeutsch und bedeutet ""Ich habe das gesagt gehört.""",1
German,Was bedeutet: Wir suln lobēn God.,Wir sollen Gott loben.,"Das bedeutet: ""Wir sollen Gott loben.""",1
German,"Was bedeutet: Diu werlt was gelf, grüene unde rôt","Die Welt war gelb, grün und rot","Dieser Satz stammt aus einem mittelalterlichen Gedicht und bedeutet übersetzt: ""Die Welt war gelb, grün und rot."" Es beschreibt die verschiedenen Farben und Facetten der Welt.",1
German,"Was bedeutet: Ich han min lehen, al diu werlt, ich han min lehen","Ich habe mein Lehen, die ganze Welt, ich habe mein Lehen","Diese Zeile stammt aus dem Minnesang, einer literarischen Gattung der mittelalterlichen deutschen Literatur. Übersetzt bedeutet der Satz: ""Ich habe mein Lehen, die ganze Welt, ich habe mein Lehen."" In der Minnedichtung symbolisiert das ""Lehen"" die Liebe, die der Dichter als sein persönliches Eigentum betrachtet und über die er frei verfügen kann. Die Welt wird hier als Metapher für die Liebe verwendet, die dem Dichter alles bedeutet.",1
German,Was bedeutet: Swie harte daz herze mîn in dem lîbe klage,Wie sehr mein Herz in meinem Körper klagt,"Dies ist ein Vers aus einem mittelalterlichen Minnelied, in dem der Sänger über sein gebrochenes Herz klagt. Die Übersetzung ins moderne Deutsch lautet: ""Wie schwer das Herz mir im Leibe klagt"". Der Sänger drückt in diesem Vers seinen Schmerz und seine Trauer über eine unerfüllte Liebe aus.",1
German,Was bedeutet „Stau“?,Verkehrsstockung,"Ein Stau bezeichnet eine Verkehrssituation, bei der sich Fahrzeuge aufgrund von dichtem Verkehr oder anderen Umständen nur langsam oder gar nicht vorwärts bewegen können. Dies führt oft zu einem Stillstand des Verkehrs, bei dem die Fahrzeuge in einer Schlange stehen. Staus können verschiedene Ursachen haben, wie Unfälle, Baustellen oder einfach nur hohe Verkehrsdichte.",1
German,Was ist die Bedeutung von „krass“ in dem Satz: „Das Konzert war krass!“?,Unglaublich,"In diesem Kontext bedeutet ""krass"" so viel wie beeindruckend, großartig, eindrucksvoll. Es drückt also im positiven Sinne eine starke und intensive Erfahrung aus.",1
German,Was bedeutet das Wort „Handy“ im deutschen Sprachgebrauch?,Mobiltelefon,"Im deutschen Sprachgebrauch bezeichnet das Wort „Handy“ ein mobiles Telefon, auch bekannt als Mobiltelefon oder Smartphone.",1
German,Was bedeutet hat der Ausdruck „Ich bin blau“?,Ich bin betrunken,"Der Ausdruck ""Ich bin blau"" bedeutet umgangssprachlich, dass man betrunken oder betäubt ist. Es wird oft verwendet, um zu beschreiben, dass man zu viel Alkohol getrunken hat und entsprechend in einem anderen Bewusstseinszustand ist.",1
German,Was bedeutet „LOL“ im Kontext von Internetkommunikation auf Deutsch?,Laughing Out Loud,"""LOL"" steht im Internet-Kontext für ""Laughing Out Loud"" und bedeutet auf Deutsch so viel wie ""laut auflachen"" oder ""sich kaputtlachen"". Es wird meist verwendet, um Humor auszudrücken oder um zu zeigen, dass etwas lustig ist.",1
German,Was wird mit „Facepalm“ ausgedrückt?,Enttäuschung oder Frustration,"""Facepalm"" wird verwendet, um Verlegenheit, Frustration, Unverständnis oder Enttäuschung über das Verhalten oder die Aussagen einer anderen Person auszudrücken. Es symbolisiert, dass man sein Gesicht mit der Hand bedeckt, um die Dummheit oder Peinlichkeit einer Situation zu verdeutlichen.",1
German,Was ist die Bedeutung von „Facepalm“?,Eine Geste der Frustration.,"""Facepalm"" ist ein Ausdruck der Frustration oder Verzweiflung, der verwendet wird, wenn jemand sich über eine dumme oder ungeschickte Handlung einer anderen Person ärgert. Es wird oft begleitet von dem bildlichen Akt des Handflächenschlags gegen die eigene Stirn als Ausdruck des Unglaubens oder der Enttäuschung. Der Ausdruck wird häufig in sozialen Medien verwendet, um Ironie oder Dummheit zum Ausdruck zu bringen.",1
German,Was bedeutet „IDK“ in Chats?, Ich weiß nicht.,"""IDK"" bedeutet ""I don't know"" und wird verwendet, um auszudrücken, dass man etwas nicht weiß oder unsicher ist.",1
French,Que signifie: Amors de terra nova.,Amour de terre nouvelle.,"""Amors de terra nova"" signifie ""amour de terre nouvelle"" en occitan, une langue romane parlée principalement dans le sud de la France, en Catalogne et en Italie. Cette expression peut faire référence à un amour naissant ou à une nouvelle aventure amoureuse.",1
French,Que signifie: ne sai que faire ,je ne sais quoi faire,"""Ne sai que faire"" signifie littéralement ""je ne sais que faire"" en français. Cela exprime donc une confusion ou une incapacité à prendre une décision ou à trouver une solution à un problème.",1
French,"Que signifie: Buona pulcella fut Eulalia. Bel avret corps, bellezour anima.",Eulalie était une bonne jeune fille. Elle avait le corps beau et l'âme plus belle encore.,"Cela signifie en français: Belle jeune fille était Eulalie. Beau corps, belle âme.",1
French,"Que signifie: Voldrent la veintre li Deo inimi,Voldrent la faire diaule servir.",Les ennemis de Dieu voulurent la vaincre;Ils voulurent lui faire servir le Diable.,"Cela signifie ""Ils voulaient faire de Dieu leur ennemi, ils voulaient le servir comme un diable"".",1
French,Que signifie: Ne por or ned argent ne paramenz,"Ni pour de l'or, ni pour de l'argent, ni pour des bijoux","Cette expression signifie ""Ni pour or ni pour argent ni pour aucun bien matériel"". Cela indique que quelque chose ne doit pas être vendu ou mis en œuvre pour des gains matériels.",1
French,"Que signifie: E por o fut presentede Maximiien, Chi rex eret a cels dis soure pagiens",Et pour cette raison elle fut présentée à Maximien Qui était en ces temps-là le roi des païens .,"Cela signifie: Et maintenant, le fils de Maximien présente Chi, qui était autrefois roi parmi les Celtes.",1
French,"Que signifie: Il li enortet, dont lei nonque chielt, Qued elle fuiet lo nom chrest iien. ","Il lui ordonna, mais peu lui chaut, De renoncer au titre de chrétienne.","Cela signifie : Il l'encourage, alors qu'elle ne veut pas, à ce qu'elle tourne le dos au nom chrétien.",1
French,"Que signifie: Pro Deo amur et pro christian poblo et nostro comun salvament, d'ist di in avant, in quant Deus savir et podir me dunat, si salvarai eo cist meon fradre Karlo, et in adjudha et in cadhuna cosa si cum om per dreit son fradra salvar dift, in o quid il mi altresi fazet; et ab Ludher nul plaid nunquam prindrai qui meon vol cist meon fradre Karlo in damno sit.","Pro Dei amore et pro Christiano poplo et nostro communi salvamento, de ista die in abante, in quantum Deus sapere et potire mî donat, sic salvaro ego eccistum meum fratrem Karlum, et in adjutum ero in quâque una cosa sic quomodo homo per derectum suum fratrem salvare debet, in hoc quid ille mî alterumsic faceret; et ab Lothario nullum placitum numquam prendero quod meo volle eccisti meo fratri Karlo in damno sit.","Cela signifie : « Pour l'amour de Dieu et pour le salut du peuple chrétien et de notre communauté, à partir de maintenant, autant que Dieu me donnera la connaissance et le pouvoir, je sauverai mon frère Charles, et je l'aiderai dans tout ce qu'il faudra pour sauver justement son frère, de la même manière que s'il le faisait pour moi ; et je ne prendrai jamais de plaidoyer contre Ludher qui causerait du tort à mon frère Charles. »",1
French,"Que signifie: Si Lodhuwigs sagrament que son fradre Karlo jurat, conservat, et Karlus meos sendra, de sua part, non lostanit, si io returnar non l'int pois, ne io, ne seuls cui eo returnar int pois, in nulla adjudha contra Lodhuvvigs nun li iv er.","Si Louis garde le serment que à son frère Charles il a juré, et Charles, mon seigneur, de sa part, ne le tient, si je ne l'en puis détourner, ni moi, ni nul que j'en puis détourner, en nulle aide contre Louis ne lui en cela serai.","Cela signifie : Si Louis jure sur l'honneur que son frère Charles ne lui fera aucun mal, et que Charles, de son côté, ne lui causera aucun dommage, alors si je ne peux pas le protéger si je reviens pas, ni moi ni ceux à qui je peux le protéger, le serment de Louis ne vaut rien.",1
French,Que signifie: Être dans le coaltar,"Cela signifie ""être dans un état second""","""Être dans le coaltar"" est une expression familière qui signifie être dans un état de grande fatigue, de confusion ou de désorientation. Cela peut également faire référence à un état de dépression ou de découragement profond.",1
