Language,Question,Standard Answer,Generated Answer
Chinese,这句话什么意思：入国而不存其士，则亡国矣。见贤而不急，则缓其君矣。非贤无急，非士无与虑国，缓贤忘士而能以其国存者，未曾有也。,治国而不优待贤士，国家就会灭亡。见到贤士而不急于任用，他们就会怠慢君主。没有比用贤更急迫的了，若没有贤士，就没有人和自己谋划国事。怠慢遗弃贤士而能使国家长治久安的，还不曾有过。,这句话的意思是：如果一个国家进入危机而没有人才来救国，这个国家就会灭亡。遇到有才能的人却不赶紧利用，就会延缓国家的挽救。没有有才能的人，国家就会面临危险，没有有志向的人来思考国家大事，只会让有才能的人被遗忘，而能够使国家继续存在的人是不存在的。
Chinese,这句话什么意思：兵者，国之大事，死生之地，存亡之道，不可不察也。,战争是关系国家存亡、民众生死的大事，必须高度重视,这句话的意思是：军队是国家的重要大事，关系到生死存亡的关键，必须认真地考虑好。
Chinese,这句话什么意思：明月几时有？把酒问青天。,像中秋佳节如此明月几时能有？我拿着酒杯遥问苍天,这句话是出自李白的《月下独酌》，意思是在月明的时候，不知道何时才能再有机会喝酒，于是向苍天祈祷。这句诗借愁怀古，表达了诗人的孤独和对智慧与自由的追求。
Chinese,这句话什么意思：长风破浪会有时，直挂云帆济沧海,相信乘风破浪的时机总会到来，到时定要扬起征帆，横渡沧海！,这句话的意思是：勇往直前，坚持不懈，就能克服困难，取得成功。
Chinese,这句话什么意思：风急天高猿啸哀，渚清沙白鸟飞回。,风急天高猿猴啼叫显得十分悲哀，水清沙白的河洲上有鸟儿在急风中飞舞盘旋。,这句话意思是：风急天高猿发凄凉的哀声，湖面清澈，沙滩洁白，鸟儿飞回巢穴。这句话描写了大自然优美的景色和生动的场景。
Chinese,这句话什么意思：空山新雨后，天气晚来秋。,新雨过后山谷里空旷清新，初秋傍晚的天气特别凉爽。,这句话意思是在下过雨后，空山显得更加清新，夜晚的天气也变凉了，表明秋天已经到来。
Chinese,这句话什么意思：借问酒家何处有？牧童遥指杏花村。,询问当地之人何处买酒消愁？牧童只是用手指了指杏花深处的村庄,这句话是一首古诗的开篇，意思是问询酒家在何处，牧童远远指向杏花村。这句话借景言情，描述了一个想要找酒家的人询问路的情景。
Chinese,这句话什么意思：山不在高，有仙则名。水不在深，有龙则灵。,山不在于高，有了神仙就会有名气。水不在于深，有了龙就会有灵气。,这句话是说，虽然山不一定很高，水不一定很深，但如果山上有仙人居住，水中有龙神存在，那么这座山和这条水便因为有了灵气和神秘感而被人们所知晓和尊重。意思是名声和感受并非只取决于外在特征，更重要的是内在的精神层面。
Chinese,“小镇做题家”是什么意思？,指的是那些“出身小城，埋头苦读，擅长应试，但缺乏一定视野和资源的青年学子,“小镇做题家”通常指在偏僻的小镇上生活的人，他们靠做各种题材的作品来谋生。这些作品可以是书籍、文章、画作、手工艺品等，他们通过自己的才华和努力在小镇上创造着自己的生活。这个词语常常带有一种浪漫和自由的意味，表达了一种追求简单生活和创作的精神。
Chinese,“断舍离”是什么意思？,一种生活态度，意思是把那些不必需、不合适、过时的东西统统断绝、舍弃，并切断对它们的眷恋，“断舍离”之后才能过简单清爽的生活。,“断舍离”是一种精神层面的修行方法，指通过割舍不必要的负累和陈旧观念，以简化、净化自己的生活和思维，实现内心的宁静与平和。这种方法源自日本作家近藤麻理惠的同名畅销书籍，强调了物质世界的超脱和精神世界的提升。通过“断舍离”，人们可以获得更多的自由和快乐，摆脱束缚和困扰。
Chinese,“佛系青年”是什么意思？,这个词并不是指年轻人皈依佛教，而是指他们喜欢和平、不好冲突，而且往往安于现状，对物质没有过度的追求。,“佛系青年”是一个流行的网络用语，指的是一种无欲无求、淡定平和、不计较他人和事物的心态和生活态度。这个词起源于日本，最初用来形容一些对生活和事情非常冷静和淡定的年轻人，后来被引入到中国，用来形容一些追求内心平和、不在乎成败得失的年轻人。这种生活态度被认为是一种对待生活的一种态度，即不刻意争取、不强求、不计较，活得轻松自在。
Chinese,“吃瓜群众”是指什么？,热衷于观看事件发展的旁观者。,“吃瓜群众”是网络用语，源自于网络流行语“吃瓜”的变形，用来形容在舆论事件或八卦话题中作为旁观者的群众。这个词通常用来形容那些在事件中没有任何利害关系，只是站在旁观者角度看热闹的人，具有一定的中立性和客观性。
Chinese,贵妃指的是什么？,皇帝的妻子,贵妃通常是指古代中国皇帝的妃子中地位最高尊贵的那一位。在宫廷中，贵妃拥有最高的地位和尊荣，通常是皇帝最宠爱的妃子，有着特殊的地位和权力。同时，贵妃在宫廷中也有一系列繁琐的礼仪和规矩，她的一言一行都会受到关注和尊重。
Chinese,“碰瓷”通常是指什么？,“碰瓷”原意指故意制造条件让对方撞上，然后敲诈勒索对方。现多指通过不正当手段获利的一种行为,“碰瓷”通常指的是一种手段，通过以假乱真或者假装受伤来诈骗他人的经济利益。比如，在交通事故中假装受伤，然后向责任方要求赔偿；或者在街头摔倒后假装受伤，向路人要求“医药费”。这些行为都是以欺骗为目的的“碰瓷”行为。
Chinese,“同治中兴”是指什么？,指的是清朝同治年间，通过一系列的改革和整顿，国力有所恢复，社会经济有所发展的历史阶段。,“同治中兴”是指嘉庆帝和道光帝的孙子同治帝在位期间进行政治改革，推行改革开放的时期。在这一时期，进行了一系列政治、军事、经济等方面的改革，旨在振兴国家、强化中央政府的控制力和统治力。虽然这些改革带来了一定的成效，但也存在许多问题和矛盾，最终未能实现国家的根本性振兴。
Chinese,江山通常指的是什么？,常被用来指代整个国家、皇权或统治者的领土和权力。,江山通常指的是一个国家或地区的政权和土地。它可以用来形容一个国家或地区的繁荣和富强，在文学作品中常用来指代国家的权力和统治。
Spain,"Qué significa: acetar, catar, efeto, respeto	","aceptar, captar, efecto, respecto and respeto","acetar: aceptar con agrado una propuesta o idea.
catar: degustar o probar algo, especialmente en relación con alimentos o bebidas.
efeto: No se encuentra en el diccionario, probablemente sea un error ortográfico que quiera referirse a ""efecto"", que significa consecuencia o resultado de una acción.
respeto: Sentimiento de consideración y deferencia hacia alguien o algo, mostrando admiración y valoración por su dignidad y sus derechos."
Spain,"Qué significa: e, et; non, no; nós; í	","y, e; no; nosotros; ahí","""e"" significa ""y"" en español, ""et"" significa ""y"" en latín, ""non"" significa ""no"" en latín, ""no"" significa ""no"" en español, ""nós"" significa ""nosotros"" en portugués y ""í"" es una letra del alfabeto latino que se pronuncia como ""i"" en español."
Spain,"Qué significa: estava; ove, avié; far/fer/fazer, fezist(e)/fizist(e)	","estaba; hube, había; hacer, hiciste","Estava: es la forma en pretérito imperfecto del verbo estar en la tercera persona del singular en portugués.

Ove, avié: es la forma en pretérito perfecto del verbo haber en la primera persona singular en portugués.

Fazer: es el infinitivo del verbo hacer en portugués.

Fer: es una variante de la palabra hacer en portugués.

Fezist(e)/Fizist(e): es la forma en pretérito perfecto de indicativo del verbo hacer en la segunda persona del singular en portugués."
Spain,"Qué significa: omne/omre/ombre, mugier/muger, ifante	","hombre, mujer, infante","En lenguaje antiguo:

- Omne/omre/ombre: Significa ""hombre"".
- Mugier/muger: Significa ""mujer"".
- Infante: Significa ""niño/a"" o ""persona de corta edad""."
Spain,"Qué significa: cras, man, mañana; nunqua/nunquas	","mañana, nunca","Cras: mañana (adverbio en latín)
Man: mañana (sustantivo en latín)
Mañana: adverbio de tiempo usado para referirse al día siguiente
Nunqua/nunquas: nunca (adverbio en latín)"
Spain,"Qué significa: quando, que, qui, commo/cuemo	","cuando, que, quien, como","cuando: en español significa ""en qué momento"" o ""en qué momento sucede algo"".

que: en español significa ""qué"" o ""cuál"", utilizado para hacer preguntas o para referirse a algo específico.

qui: en occitano significa ""quién"", utilizado para referirse a una persona específica.

como/cuemo: en asturiano significa ""cómo"" o ""de qué manera"", utilizado para preguntar sobre la forma en que se realiza algo."
Spain,Qué significa: E Ruego a san peydro que me aiude a Rogar,Y ruego a San Pedro que me ayude a rogar,"Esta frase no tiene un sentido claro, posiblemente contiene errores ortográficos o de redacción. Sin embargo, parece estar solicitando la ayuda de San Pedro para poder orar de manera adecuada. La correcta redacción sería: ""Ruego a San Pedro que me ayude a rogar"". En este caso, la persona está pidiendo la intercesión de San Pedro para que le ayude a realizar sus peticiones en forma de oración."
Spain,"Qué significa: Por mio çid el campeador, que dios le curie de mal,","Por mi Cid el Campeador, que Dios le cuide del mal,","Esta frase significa ""Por mi señor el Campeador, que Dios lo cure de mal"". Hace referencia a Rodrigo Díaz de Vivar, más conocido como El Cid, un héroe nacional de España en la Edad Media. La frase expresa un deseo o una invocación de protección divina para El Cid."
Spain,"Qué significa: Quando oy nos partimos, en vida nos faz iuntar.","Cuando hoy partamos, haz que en vida nos juntemos otra vez.","Esta frase significa que cuando nos separamos ahora, en vida nos hace unir. Puede interpretarse como una reflexión sobre la importancia de mantener la conexión y la unión con las personas que nos importan mientras estamos vivos, ya que la separación puede hacer que valoraremos aún más esa unión."
Spain,"Qué significa: Ati adoro e creo de toda voluntad,","A ti te adoro y en ti creo de toda voluntad,","En español moderno, esta frase significa ""Te adoro y creo de todo corazón"". Es una expresión de amor y fe hacia alguien o algo."
Spain,Qué significa: Guay,Se utiliza para describir que lo estupendo que es algo,"""Guay"" es una expresión coloquial en español que se utiliza para indicar que algo está bien, genial, estupendo o excelente. También puede usarse para expresar sorpresa o admiración. Es una expresión popular entre los jóvenes en España."
Spain,Qué significa: Vale,Esta en la versión informal de “de acuerdo” ,"""Vale"" es una expresión comúnmente utilizada en español que puede tener varios significados dependiendo del contexto en el que se utilice. Algunos de los significados más comunes son:

1. Aceptar o estar de acuerdo con algo: ""Vale, reunámonos a las 5 de la tarde.""
2. Indicar conformidad o asentimiento: ""Si tú lo dices, vale.""
3. Expresar que algo está bien o en orden: ""Vale, ya lo revisé y está todo correcto.""
4. Dar por válido o aceptar una propuesta o idea: ""Vale, me parece una buena idea.""
5. Confirmar que se ha entendido o escuchado algo: ""Vale, ahora lo entiendo."""
Spain,Qué significa: Chulo,“Un chulo” se utiliza para describir a una pesona que actúa de manera arrogante.,"La palabra ""chulo"" puede tener diferentes significados dependiendo del contexto en el que se utilice. Algunas de las posibles interpretaciones son:

1. Se puede usar para referirse a una persona que tiene una actitud prepotente, arrogante o engreída.
2. En algunos países de habla hispana, ""chulo"" también puede significar algo que está bien, bonito o atractivo.
3. En el ámbito de la prostitución, un ""chulo"" es una persona que controla y explota a trabajadores sexuales, generalmente mujeres."
Spain,Qué significa: Cutre,"La palabra “cutre” se utiliza para describir cosas, lugares y person asque son de mala calidad, barato o sucio","Cutre es un adjetivo que se utiliza para describir algo de mala calidad, de mal gusto o de poca categoría. También se usa para referirse a algo barato o vulgar."
Spain,Qué significa: Tener mala leche,Esta es utilizada para personas que poseen un comportamiento de maldad o que tienen __intenciones dañinas__ hacia otra persona.,"La expresión ""tener mala leche"" se refiere a una actitud negativa, agresiva, o provocadora hacia los demás. También puede significar tener mal carácter, ser enojadizo o no tener paciencia. Se utiliza para describir a una persona que constantemente tiene actitudes malas o negativas hacia los demás."
Spain,Qué significa: Llueve sobre mojado,Esta es una frase que se utiliza para expresar que ha ocurrido una situación mala y que a esta le han seguido otras situaciones aún peores,"Esta frase se utiliza para expresar que un problema o situación negativa se agrava aún más al añadirse otra dificultad o inconveniente. Es decir, se refiere a una situación en la que las cosas ya eran malas y empeoran aún más."
Spain,Qué significa: Tener vista de lince,"Cuando una persona tiene una excelente vista, puede decirse que tiene vista de lince, haciendo la asociación con este animal.","La expresión ""tener vista de lince"" significa tener una vista muy aguda y poder ver detalles o cosas a larga distancia con gran nitidez. También se utiliza de forma figurada para referirse a una persona muy observadora y perspicaz."
Spain,Qué significa: Tornar-m-é a Jherusalem,Regresaré a Jerusalén.,"Esta frase en catalán significa ""Volveré a Jerusalén"". Es una expresión que indica el deseo de regresar a la ciudad de Jerusalén en algún momento del futuro."
Spain,Qué significa: En pennar gelo he por lo que fuere guisado ,Se lo empeñaré por lo que sea razonable,"Esta frase no tiene sentido en español. ""Pennar"" y ""gelo"" no son palabras reconocidas en el idioma. Podría ser un error tipográfico o una frase incorrectamente escrita. No es posible determinar su significado sin más contexto."
Spain,"¿Qué significa la palabra ""perro"" en español?","""Perro"" se refiere a un animal doméstico de la familia de los cánidos.","Un perro es un mamífero domesticado de la familia de los cánidos, que se caracteriza por ser un animal de compañía leal, fiel y protector."
German,Was bedeutet: Gemorje!,Guten Morgen!,"Gemorje ist ein traditioneller Gruß auf den Fidschi-Inseln, der so viel wie ""Hallo"" oder ""Guten Tag"" bedeutet. Es wird oft als Zeichen der Höflichkeit und Respekt verwendet."
German,Was bedeutet: Heit is a scheena Dog,Heute ist ein schöner Tag.,"""Es ist ein schöner Tag heute."""
German,Was bedeutet: I moan scho a,Ich meine auch,"""I moan scho a"" ist bairisch und bedeutet so viel wie ""ich weiß es schon"". Es wird häufig verwendet, um auszudrücken, dass man bereits über etwas informiert ist oder eine Situation kennt."
German,Was bedeutet: I versteh di ned,Ich verstehe dich nicht,"""I versteh di ned"" ist bayrisch und bedeutet auf Hochdeutsch übersetzt ""Ich verstehe dich nicht""."
German,Was bedeutet: Kanntn Sie mia helfa,Kannst du mir helfen,"""Kannt Sie mia helfa"" ist ein grammatisch fehlerhafter Satz, der wahrscheinlich bedeuten soll ""Kannst du mir helfen?"". In korrektem Deutsch wäre dies die Frage ob jemand im Stande ist, dir zu helfen."
German,"Was bedeutet: In alten tiden wāren wīsenti, thie hārte strongu wārun.","In alten Zeiten waren Wisente, die sehr stark waren","Diese Phrase stammt aus dem Althochdeutschen und bedeutet übersetzt: In alten Zeiten waren die weisen Männer, die starken Herren."
German,Was bedeutet: haz wāter ist kalta.,Das Wasser ist kalt.,"Das bedeutet ""Das Wasser ist kalt"" auf Deutsch."
German,Was bedeutet: Ih gihōrta dāt seggen.,Ich hörte das sagen.,"""Ich höre, was du sagst."""
German,Was bedeutet: Wir suln lobēn God.,Wir sollen Gott loben.,"Diese Aussage bedeutet: ""Wir sollen Gott loben."""
German,"Was bedeutet: Diu werlt was gelf, grüene unde rôt","Die Welt war gelb, grün und rot","Diese Phrase stammt aus einem mittelalterlichen Text des deutschen Dichters Meister Eckhart, und bedeutet ""Die Welt war gelb, grün und rot"". Es wird oft als Metapher für die Schönheit und Vielfalt der Natur verwendet."
German,"Was bedeutet: Ich han min lehen, al diu werlt, ich han min lehen","Ich habe mein Lehen, die ganze Welt, ich habe mein Lehen","Dieser Satz stammt aus einem mittelhochdeutschen Minnesang und bedeutet ""Ich habe mein Lehen, die ganze Welt, ich habe mein Lehen"". Es wird oft als Liebeserklärung oder Versprechen interpretiert, dass die Person alles, was sie besitzt, dem geliebten Menschen geben würde."
German,Was bedeutet: Swie harte daz herze mîn in dem lîbe klage,Wie sehr mein Herz in meinem Körper klagt,"""Swie harte daz herze mîn in dem lîbe klage"" ist ein mittelalterliches Zitat, das auf Deutsch bedeutet: ""So sehr mein Herz im Liebeskummer leidet"". Es beschreibt die tiefe Trauer und den Schmerz, den jemand aufgrund unerwiderten oder verlorenen Gefühlen empfindet."
German,Was bedeutet „Stau“?,Verkehrsstockung,"Ein ""Stau"" bezieht sich auf eine Situation, in der der Verkehr auf einer Straße, Autobahn oder einem anderen Verkehrsweg aufgrund eines hohen Verkehrsaufkommens zum Stillstand kommt oder nur langsam vorankommt. Dies kann durch Unfälle, Baustellen, übermäßiges Verkehrsaufkommen oder andere Gründe verursacht werden. Ein Stau kann zu erheblichen Verzögerungen und Frustrationen bei den Verkehrsteilnehmern führen."
German,Was ist die Bedeutung von „krass“ in dem Satz: „Das Konzert war krass!“?,Unglaublich,"In diesem Zusammenhang bedeutet ""krass"" beeindruckend, sensationell oder auch außergewöhnlich. Es drückt aus, dass das Konzert sehr positiv und intensiv war."
German,Was bedeutet das Wort „Handy“ im deutschen Sprachgebrauch?,Mobiltelefon,"Im deutschen Sprachgebrauch bezieht sich das Wort ""Handy"" auf ein Mobiltelefon oder Smartphone, mit dem man telefonieren, Nachrichten senden und im Internet surfen kann. Das Wort ""Handy"" wird im deutschen Sprachraum synonym für Mobiltelefon verwendet."
German,Was bedeutet hat der Ausdruck „Ich bin blau“?,Ich bin betrunken,"Der Ausdruck ""Ich bin blau"" bedeutet umgangssprachlich, dass man betrunken ist."
German,Was bedeutet „LOL“ im Kontext von Internetkommunikation auf Deutsch?,Laughing Out Loud,"""LOL"" bedeutet im Kontext von Internetkommunikation auf Deutsch ""laut lachen"" oder ""lachend laut"". Es wird verwendet, um auszudrücken, dass etwas lustig ist und zum Lachen bringt."
German,Was wird mit „Facepalm“ ausgedrückt?,Enttäuschung oder Frustration,"Mit ""Facepalm"" wird oft Frustration oder Verlegenheit über etwas Dummes oder Peinliches ausgedrückt. Es ist eine Geste, bei der man seine Hand über das Gesicht legt, als ob man sich ins Gesicht schlagen würde. Diese Reaktion wird oft als symbolische Reaktion auf etwas angesehen, das so absurd oder unvernünftig ist, dass man einfach nicht anders kann, als die Hand vor das Gesicht zu schlagen."
German,Was ist die Bedeutung von „Facepalm“?,Eine Geste der Frustration.,"""Facepalm"" ist eine Geste, bei der man die Handfläche ins Gesicht schlägt, um auszudrücken, dass man enttäuscht, verärgert oder frustriert ist. Die Bedeutung dieser Geste kann auch sein, dass man sich für etwas schämt oder eine Handlung oder Aussage eines anderen als besonders dumm oder peinlich empfindet. In der Internetkultur wird der Begriff ""Facepalm"" oft verwendet, um Missverständnisse oder Fehltritte anderer zu kommentieren oder um die eigene Frustration oder Enttäuschung auszudrücken."
German,Was bedeutet „IDK“ in Chats?, Ich weiß nicht.,"""IDK"" steht für ""I don't know"" und bedeutet auf Deutsch ""Ich weiß es nicht"". Beispielsweise wird dieses Kürzel in Chat-Nachrichten verwendet, um auszudrücken, dass man keine Antwort auf eine Frage hat oder sich unsicher ist."
French,Que signifie: Amors de terra nova.,Amour de terre nouvelle.,"""Amors de terra nova"" est une expression en occitan qui signifie ""Amour de la terre nouvelle"" en français. Cette expression fait référence à un amour naissant ou à une passion renouvelée."
French,Que signifie: ne sai que faire ,je ne sais quoi faire,"Cela signifie ""je ne sais pas quoi faire"". C'est une expression utilisée pour exprimer l'incertitude ou le désarroi face à une situation donnée."
French,"Que signifie: Buona pulcella fut Eulalia. Bel avret corps, bellezour anima.",Eulalie était une bonne jeune fille. Elle avait le corps beau et l'âme plus belle encore.,"Cela signifie: ""Eulalie était une bonne jeune fille. Elle avait un beau corps et une belle âme."""
French,"Que signifie: Voldrent la veintre li Deo inimi,Voldrent la faire diaule servir.",Les ennemis de Dieu voulurent la vaincre;Ils voulurent lui faire servir le Diable.,"Cela signifie : Ils voulaient blesser Dieu pour lui être ennemis, Ils voulaient le servir comme le diable."
French,Que signifie: Ne por or ned argent ne paramenz,"Ni pour de l'or, ni pour de l'argent, ni pour des bijoux","Cela signifie en ancien français : ""Ni par or ni par argent ni par aucun moyen"". C'est une expression qui signifie que quelque chose ne peut pas être obtenu ou réalisé par l'argent ou par aucun moyen."
French,"Que signifie: E por o fut presentede Maximiien, Chi rex eret a cels dis soure pagiens",Et pour cette raison elle fut présentée à Maximien Qui était en ces temps-là le roi des païens .,"Cela signifie: ""Et après cela, fut présenté Maximilien, qui était roi des cieux parmi les païens."""
French,"Que signifie: Il li enortet, dont lei nonque chielt, Qued elle fuiet lo nom chrest iien. ","Il lui ordonna, mais peu lui chaut, De renoncer au titre de chrétienne.","Cela signifie : ""Il l'encourage, malgré les obstacles qu'elle rencontre, car elle porte le nom du Christ."""
French,"Que signifie: Pro Deo amur et pro christian poblo et nostro comun salvament, d'ist di in avant, in quant Deus savir et podir me dunat, si salvarai eo cist meon fradre Karlo, et in adjudha et in cadhuna cosa si cum om per dreit son fradra salvar dift, in o quid il mi altresi fazet; et ab Ludher nul plaid nunquam prindrai qui meon vol cist meon fradre Karlo in damno sit.","Pro Dei amore et pro Christiano poplo et nostro communi salvamento, de ista die in abante, in quantum Deus sapere et potire mî donat, sic salvaro ego eccistum meum fratrem Karlum, et in adjutum ero in quâque una cosa sic quomodo homo per derectum suum fratrem salvare debet, in hoc quid ille mî alterumsic faceret; et ab Lothario nullum placitum numquam prendero quod meo volle eccisti meo fratri Karlo in damno sit.","Cela signifie: Par l'amour de Dieu et pour le peuple chrétien et notre salut commun, à partir de ce jour, autant que Dieu me donne la sagesse et le pouvoir, je protégerai mon frère Charles, et je l'aiderai en tout comme on devrait légitimement aider son frère à se sauver, ou comme il devrait le faire pour moi; et avec Ludher je ne prendrai jamais part à un plaid qui puisse causer du tort à mon frère Charles."
French,"Que signifie: Si Lodhuwigs sagrament que son fradre Karlo jurat, conservat, et Karlus meos sendra, de sua part, non lostanit, si io returnar non l'int pois, ne io, ne seuls cui eo returnar int pois, in nulla adjudha contra Lodhuvvigs nun li iv er.","Si Louis garde le serment que à son frère Charles il a juré, et Charles, mon seigneur, de sa part, ne le tient, si je ne l'en puis détourner, ni moi, ni nul que j'en puis détourner, en nulle aide contre Louis ne lui en cela serai.","Cela signifie: Si Louis maintient le serment qu'a prêté son frère Charles, et que Charles, de son côté, ne lui manque pas, si je ne peux pas le lui rendre, ni moi ni ceux vers qui je pourrais le rendre n'agirons en aucune façon contre Louis."
French,Que signifie: Être dans le coaltar,"Cela signifie ""être dans un état second""","""Être dans le coaltar"" est une expression française familière qui signifie être dans une situation difficile, incontrôlable ou échouée. Cela peut également signifier être dans une situation embrouillée, confuse ou compliquée."
French,"Que signifie: Ah, c’est marrant, j’savais pas.","Ah, c’est marrant, je ne savais pas","Cette phrase signifie « Oh, c'est drôle, je ne savais pas. » Cela indique que la personne a été surprise ou amusée par l'information qu'elle vient d'apprendre."
French,Que signifie: Il y a vachement de monde. ,Il y a beaucoup de monde.,"Cela signifie qu'il y a beaucoup de monde, qu'il y a énormément de personnes présentes à un certain endroit. Le terme ""vachement"" est un terme familier utilisé pour renforcer l'intensité d'une affirmation."
